fid,fname,fruntime,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fmystery,fadventure,ffamily,fromance,fthriller,fwestern,fhistory,fmusical,fdrama,fwar,ffantasy,fcrime,fanimation,fsport,faction,fbiography,fcomedy,fsci-fi,fhorror,fmusic,actW,nominated,Won,month,year,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_Unrated,fproduction_BBC Films,fproduction_Columbia Pictures,fproduction_Dimension Films,fproduction_DreamWorks,fproduction_Fox Searchlight Pictures,fproduction_Lionsgate,fproduction_Millennium Films,fproduction_New Line Cinema,fproduction_Paramount Pictures,fproduction_Screen Gems,fproduction_Summit Entertainment,fproduction_Twentieth Century Fox,fproduction_Universal Pictures,fproduction_Walt Disney Pictures,fproduction_other,fGross_y,fbudget_y,fcumlative_y
tt0035423,Kate & Leopold,118.0,6.4,75402.0,0.64,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0,1.0,0.0,12,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47121859.0,48000000.0,76019048.0
tt0113026,The Fantasticks,86.0,5.6,1083.0,0.5599999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,9,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49666.0,10000000.0,49666.0
tt0118589,Glitter,104.0,2.2,20967.0,0.22000000000000008,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,9,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4274407.0,22000000.0,5271666.0
tt0118694,In the Mood for Love,98.0,8.1,110024.0,0.8099999999999999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,3,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2738980.0,196915468.9,12854953.0
tt0118926,The Dancer Upstairs,132.0,6.9,6135.0,0.6900000000000001,10.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.0,0.0,0.0,5,2003,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2377348.0,35500708.0,5227348.0
tt0118926,The Dancer Upstairs,132.0,6.9,6139.0,0.6900000000000001,10.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.0,0.0,0.0,5,2003,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2377348.0,35500708.0,5227348.0
tt0119004,Don's Plum,89.0,5.8,3847.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,8,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,241282585.3,15239127.4,41939.0
tt0120263,Songs from the Second Floor,98.0,7.6,16232.0,0.76,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,10,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80334.0,51974338.4,80334.0
tt0120467,Vulgar,87.0,5.3,3855.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15927.0,120000.0,15927.0
tt0120667,Fantastic Four,106.0,5.7,301462.0,0.5700000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.0,0.0,0.0,7,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,154696080.0,100000000.0,330120875.0
