fid,fname,fruntime,certificate,fbudget,fopening,fcumlative,fGross,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,flocation,fproduction,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fcomedy,fadult,fdocumentary,fmystery,fadventure,fbiography,fshort,fnews,fthriller,ffamily,fhistory,fcrime,fhorror,ftalk-show,fwar,fgame-show,freality-tv,fwestern,faction,fmusical,fsport,fmusic,fanimation,fromance,fsci-fi,ffantasy,fdrama,act1,act2,actW,nominated,Won,month,year
tt5033998,Charlie's Angels,118.0,PG-13,48000000,8351109.0,51966097.0,17289006,3.9,11260.0,0.39,0.0,0.0,Saudi Arabia,Columbia Pictures,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Nov,2019
tt2709692,The Grinch,85.0,PG,75000000,67572855.0,511595957.0,270620950,6.3,34563.0,0.63,0.0,0.0,Saudi Arabia,Universal Pictures,0.0,0.0,18.0,0.0,1.5,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16.0,0.0,16.0,,,Nov,2018
tt0187078,Gone in 60 Seconds,118.0,PG-13,90000000,25336048.0,237202299.0,101648571,6.5,249839.0,0.65,0.0,0.0,New Zealand,Touchstone Pictures,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,1.0,11.0,,,Jun,2000
tt0118694,In the Mood for Love,98.0,PG,,113280.0,12854953.0,2738980,8.1,110024.0,0.8099999999999999,0.0,3.5,Hong Kong,other,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5.0,0.0,5.0,,,Mar,2001
tt0200192,Cheeky,91.0,Not Rated,,,,,5.5,4467.0,0.55,0.0,3.5,Italy,other,0.0,0.0,2.0,3.5,0.0,1.0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jan,2000
tt0190332,"Crouching Tiger, Hidden Dragon",120.0,PG-13,17000000,663205.0,213525736.0,128078872,7.8,243338.0,0.78,0.0,0.0,Malaysia,other,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3.0,0.0,3.0,10.0,1.0,Jan,2001
tt0266308,Battle Royale,114.0,Not Rated,4500000,,958989.0,,7.6,161579.0,0.76,0.0,0.0,Japan,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,,,Dec,2000
tt4463894,Shaft,111.0,R,30000000,8901419.0,21360215.0,21360215,6.4,32721.0,0.64,0.0,0.0,Brazil,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Jun,2019
tt4178092,The Gift,108.0,R,5000000,11854273.0,58980521.0,43787265.0,7.0,126888.0,0.7,0.0,5.0,Lithuania,other,37.5,5.5,1.0,12.0,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,6.0,,,Aug,2015
tt4178092,The Gift,108.0,R,5000000,11854273.0,58980521.0,43787265.0,7.0,126888.0,0.7,0.0,5.0,Lithuania,other,37.5,5.5,1.0,12.0,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,6.0,,,Aug,2015
tt4975920,The Kid,100.0,R,8000000,514286.0,1551521.0,1508593,5.9,4288.0,0.5900000000000001,0.0,0.0,USA,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Mar,2019
tt0249380,Rape Me,77.0,Not Rated,,,940944.0,420224,4.5,16197.0,0.45,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jun,2000
tt0240913,Under the Sand,92.0,Unrated,,32657.0,6531687.0,1452698,7.1,7811.0,0.71,0.0,9.0,Belgium,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,,,May,2001
tt0269743,Barking Dogs Never Bite,110.0,Not Rated,,,44767.0,,7.0,4252.0,0.7,0.0,0.0,South Korea,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,,,Feb,2000
