name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Charlie's Angels,tt0160127,160127.0,98,"['Cameron Diaz', 'Drew Barrymore', 'Lucy Liu', 'Bill Murray', 'Sam Rockwell', 'Kelly Lynch', 'Tim Curry', 'Crispin Glover', 'Matt LeBlanc', 'LL Cool J', 'Tom Green', 'Luke Wilson', 'Sean Whalen', 'Tim Dunaway', 'Alex Trebek', 'Raliegh Wilson', 'Mark Ryan', 'Bobby Ore', 'Guy Oseary', 'Joe Duer', 'Matthew Frauman', 'Reginald C. Hayes', 'Melissa McCarthy', 'Bob Stephenson', 'Ned Bellamy', 'Raymond Patterson', 'Björn Flor', 'Gaven E. Lucas', 'Michael Barryte', 'Andrew Wilson', 'Branden Williams', 'Frank Marocco', 'Diesel Pfingsten', 'Jim Calloway', 'Kevin Grevioux', 'Michael Papajohn', 'Jim Palmer', 'Shawn Woods', 'Kenny Endoso', 'Tom Garner', 'Isaac C. Singleton Jr.', 'Paul Eliopoulos', 'Tim Gilbert', 'Al Goto', 'Steven Ito', 'Felipe Savahge', 'Mike Smith', 'Jerry Trimble', 'John Forsythe', 'Kristen Alexander', 'Dan Andreiu', 'Jeff Andrus', 'Jane Bordeaux', 'Paige Brooks', 'Jennifer Cole', 'Affion Crockett', 'Ivana Firestone', 'Darianne Galden', 'Gichi Gamba', 'Ray Huffman', 'Ariane Von Kamp', 'Charles M. Kerper', 'Karen McDougal', 'Paul McMichael', 'Christopher Metas', 'Darren Michaels', 'Adrian Morales', 'Paul Oliver', 'Heather Elizabeth Parkhurst', 'Josh Seffinger', 'Matt Sergott', 'Steven T Stanton', 'Kevin Alexander Stea', 'Suzie Steen', ""Tony Stef'Ano"", 'Nikki Tuazon', 'Junichi Yanagita', 'Brad Everett Young', 'Cheung-Yan Yuen']","['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['us', 'de']","['en', 'de', 'fi', 'ja', 'yue']",TV-14,93000000.0,"$40,128,550, 05 Nov 2000",264105545.0,5.5,167652.0,03 Nov 2000 (Canada),Charlie's Angels,McG,Ryan Rowe,Ed Solomon,Drew Barrymore,Joseph M. Caracciolo,Columbia Pictures,Flower Films (II),Edward Shearmur,Peter Teschner,Russell Carpenter,Lauri Gaffin,Vic Armstrong,Etienne Andlau
How the Grinch Stole Christmas,tt0170016,170016.0,104,"['Jim Carrey', 'Taylor Momsen', 'Kelley', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling', 'Rachel Winfree', 'Rance Howard', 'Jeremy Howard', 'T.J. Thyne', 'Lacey Kohl', 'Nadja Pionilla', 'Jim Meskimen', 'Michael Dahlen', 'David Costabile', 'Mary Stein', 'James Ritz', 'Deep Roy', 'Jessica Sara', 'Mason Lucero', 'Ben Bookbinder', 'Michaela Gallo', 'Landry Allbright', 'Reid Kirchenbauer', 'Rebecca Chace', 'Suzanne Krull', 'Steve Kehela', 'Lillias White', 'Rain Pryor', 'John Alexander', 'Kevin Isola', 'Gavin Grazer', 'Walter Franks', 'Verne Troyer', 'Clayton Martinez', ""Q'orianka Kilcher"", 'Caroline Williams', 'John Short', 'Grainger Esch', 'Eva Burkley', 'Rick Baker', 'Bill Sturgeon', 'Mark Setrakian', 'Jurgen Heimann', 'Tim Blaney', 'Bryce Dallas Howard', 'Charles Croughwell', 'Frank Welker', 'Anthony Hopkins', 'Rachel Bailit', 'Dean Chambers', 'Mindy Ferguson', 'Heather Lea Gerdes', 'Linda Harmon', 'Richard Steven Horvitz', 'Ron Howard', 'Seth Adam Jones', 'Tommy Karlsen', 'Allie McCall', 'Christopher Metas', 'Ann Mills', 'Sloane Momsen', 'Bonnie Morgan', 'Carlos Ragas', 'Frankie Ray', 'Robin Kaye Shaw']","['Comedy', 'Family', 'Fantasy']",['us'],['en'],PG,123000000.0,"$55,082,330, 19 Nov 2000",345141403.0,6.1,187836.0,17 Nov 2000 (USA),How the Grinch Stole Christmas,Ron Howard,Dr. Seuss,,Linda Fields,Brian Grazer,Universal Pictures,Imagine Entertainment,James Horner,Daniel P. Hanley,Donald Peterman,Merideth Boswell,Andrew Bernstein,Bernd Angerer
X-Men,tt0120903,120903.0,104,"['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden', 'Halle Berry', 'Anna Paquin', 'Tyler Mane', 'Ray Park', 'Rebecca Romijn', 'Bruce Davison', 'Matthew Sharp', 'Brett Morris', 'Rhona Shekter', 'Kenneth McGregor', 'Shawn Roberts', 'Donna Goodhand', 'John Nelles', 'George Buza', 'Darren McGuire', 'Carson Manning', 'Scott Leva', 'Aron Tager', 'Kevin Rushton', 'Doug Lennox', 'David Nichols', 'Malcolm Nefsky', 'Sumela Kay', 'Shawn Ashmore', 'Katrina Florece', 'Alex Burton', 'Quinn Wright', 'Daniel Magder', 'Matt Weinberg', 'Madison Lanc', 'Stan Lee', 'Marsha Graham', 'Amy Leland', 'Adam Robitel', 'David Lawrence Brown', 'Ben Jensen', 'Tom DeSanto', 'Todd Dulmage', 'Dan Duran', 'Elias Zarou', 'David Black', 'Robert R. Snow', 'David Hayter', 'Cecil Phillips', 'Dave Allen Clark', 'Deryck Blake', 'Ilke Hincer', 'Ron Sham', 'Jay Yoo', 'Grigori Miakouchkine', 'Eleonore Comes', 'Giuseppe Gallaccio', 'Rupinder Brar', 'Abi Ganem', 'Joey Purpura', 'Manuel Verge', 'Wolfgang Müller', 'Ralph Zuljan', 'Andy Grote', 'Eric Bryson', 'Ben Champniss', 'Cheryl De Luca', 'Wesley Finucan', 'Kyler Fisher', 'Marc Gagne', 'Matthew Galliford', 'Gary Goddard', 'Matt Granger', 'Cyprian Lerch', 'Donald Mackinnon', 'Brian Peck', 'Sabrina G Samuels', 'Peter Schindelhauer', 'Jimmy Star', 'Kim Tannahill', 'Daniel Vivian', 'Quentin Wright']","['Action', 'Adventure', 'Sci-Fi']",['us'],['en'],PG-13,75000000.0,"$54,471,475, 16 Jul 2000",296339527.0,7.4,546978.0,13 Jul 2000 (Australia),X-Men,Bryan Singer,Tom DeSanto,Bryan Singer,Avi Arad,Tom DeSanto,Twentieth Century Fox,Marvel Enterprises,Michael Kamen,Steven Rosenblum,Newton Thomas Sigel,James Edward Ferrell Jr.,Velvet Andrews-Smith,Nancy Adams
Scary Movie,tt0175142,175142.0,88,"['Carmen Electra', 'Dave Sheridan', 'Frank B. Moore', 'Giacomo Baessato', 'Kyle Graham', 'Leanne Santos', 'Mark McConchie', 'Karen Kruper', 'Anna Faris', 'Jon Abrahams', 'Rick Ducommun', 'Regina Hall', 'Marlon Wayans', 'Shannon Elizabeth', 'Lloyd Berry', 'Cheri Oteri', 'Matthew Paxman', 'Chris Robson', 'Susan Shears', 'Peter Bryant', 'Lochlyn Munro', 'Shawn Wayans', 'Andrea Nemeth', 'Craig Bruhnanski', 'Dan Joffre', 'Kelly Coffield Park', 'Kurt Fuller', 'David L. Lander', 'Reg Tupper', 'Tanja Reichert', 'Kendall Saunders', 'Babe Dolan', 'David Neale', 'Nels Lennarson', 'Nicola Crosbie', 'Ian Bliss', 'Chris Wilding', 'Trevor Roberts', 'Glynis Davies', 'Jayne Trcka', 'Peter Hanlon', 'Ted Cole', 'Doreen Ramus', 'Lee R. Mayes', 'Keenen Ivory Wayans', 'Mark Hoeppner', 'Jessica Van der Veen', 'Jim Shepard', 'Marissa Jaret Winokur', 'Dexter Bell', 'Ted Gill', 'Andrew Keilty', 'Kevin Hansen', 'Johnny Hawkes', 'Art Hives', 'Jennifer Anne Lee', 'Bruce Mahler', 'Mark Marriott', 'Antonio McKay', 'Robin Miller', 'Zahf Paroo', 'Ryan Paton', 'Aubrey Tennant', 'James Van Der Beek']",['Comedy'],['us'],['en'],TV-MA,19000000.0,"$42,346,669, 09 Jul 2000",278019771.0,6.2,219996.0,07 Jul 2000 (USA),Scary Movie,Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans,Andra Dalto,Eric L. Gold,Dimension Films,Wayans Bros. Entertainment,David Kitay,Mark Helfrich,Francis Kenny,Louise Roper,Shelley Cox,Rob Blue
The Family Man,tt0218967,218967.0,125,"['Nicolas Cage', 'Téa Leoni', 'Don Cheadle', 'Jeremy Piven', 'Saul Rubinek', 'Josef Sommer', 'Makenzie Vega', 'Jake Milkovich', 'Ryan Milkovich', 'Lisa Thornhill', 'Harve Presnell', 'Mary Beth Hurt', 'Amber Valletta', 'Francine York', 'Ruth Williamson', ""John F. O'Donohue"", 'Daniel Whitner', 'Lucy Lin', 'Lisa LoCicero', 'Wass Stevens', 'Thomas James Foster', 'Irene Roseen', 'Ken Leung', 'Mak Fai', 'Maggi-Meg Reed', 'Kate Walsh', 'Ray Valentine', 'Gianni Russo', 'Tom McGowan', 'Joel McKinnon Miller', 'Tanya Newbould', 'Hilary Adahms', 'Troy Hall', 'Kathleen Doyle', 'Mary Civiello', 'Paul Keith', 'Elizabeth Sjoli', 'Philippe Bergeron', 'Christopher Breslin', 'Si Picker', 'Lisa Guzman', 'Robert Downey Sr.', 'P.J. Barry', 'Nina Barry', 'Ellis', 'Paul Sorvino', 'Danielle Camastra', 'Kylie Delre', 'Johnny Drocco', 'Elena Fabri', 'Tarri Markel', 'Paul McMichael', 'Adam Mucci', 'Jessica Prince', 'Louis E. Rosas', 'Jill Scott', 'Nick Taylor']","['Comedy', 'Drama', 'Fantasy', 'Romance']",['us'],"['en', 'it']",PG-13,60000000.0,"$15,104,055, 25 Dec 2000",124745083.0,6.8,98470.0,14 Dec 2000 (Chile),The Family Man,Brett Ratner,David Diamond,David Weissman,Marc Abraham,Armyan Bernstein,Universal Pictures,Beacon Communications,Danny Elfman,Mark Helfrich,Dante Spinotti,Leslie Pope,David Cass Jr.,Mat Beck
Shaft,tt0162650,162650.0,99,"['Samuel L. Jackson', 'Vanessa Williams', 'Jeffrey Wright', 'Christian Bale', 'Busta Rhymes', 'Dan Hedaya', 'Toni Collette', 'Richard Roundtree', 'Ruben Santiago-Hudson', 'Josef Sommer', 'Lynne Thigpen', 'Philip Bosco', 'Pat Hingle', 'Lee Tergesen', 'Daniel von Bargen', ""Francisco 'Coqui' Taveras"", 'Sonja Sohn', 'Peter McRobbie', 'Zach Grenier', 'Richard Cocchiaro', 'Ron Castellano', 'Freddie Ricks', 'Sixto Ramos', 'Andre Royo', 'Richard Barboza', 'Mekhi Phifer', 'Gano Grills', 'Catherine Kellner', 'Philip Rudolph', 'Angela Pietropinto', 'Joe Quintero', 'Lanette Ware', ""Stu 'Large' Riley"", 'Mark Zeisler', 'Capital Jay', 'Bonz Malone', 'Henry G. Thomas', 'Brian Oswald Talbot', 'Preston Thomas', 'Marshall T. Broughton', 'Ann Ducati', 'Lisa Cooley', 'Elizabeth Banks', 'Scott Lucy', 'Chris Orr', 'Christopher Orr', 'Evan Farmer', 'Will Chase', 'Jeff Branson', 'Jerome Preston Bates', 'John Elsen', 'Nadine Mozon', 'Lawrence Taylor', 'Caprice Benedetti', 'John Cunningham', 'Louie Leonardo', 'Tony Rhune', 'Fidel Vicioso', 'F. Valentino Morales', 'Myron Primes', 'Universal', 'Travis Brandon Rosa', 'Matthew Wallace', 'Luis Torres', 'John Wojda', 'Ahmed Al-Khan', 'Amer Al-Khan', 'Rashid Feleyfel', 'Gordon Parks', 'Joan Baker', 'William H. Burns', 'Gabe Castillo', 'Nicholas J. Coleman', 'Johanna Estevez', 'Todd Fredericks', 'Carson Grant', 'Mary Ann Hannon', 'Isaac Hayes', 'Doug Hutchison', 'Deacon Ledges', 'Deirdre Lovejoy', 'Carl Low', 'John E. Mack', 'Selena Mars', 'Riley G. Matthews Jr.', 'Thomas Mejia', 'Mercedes Mercado', 'Dorian Missick', ""Kevin O'Donnell"", 'Nik Pjeternikaj', 'Gloria Reuben', 'Roman Rivera', 'Dawn Robinson', 'Christina Rouner', 'Mustafa Shakir', 'Cue Shepherd', 'John Singleton', 'Peter Stickles', 'Al Thompson', 'Lou Torres', 'Marc Yarrish']","['Action', 'Crime', 'Thriller']","['de', 'us']","['en', 'de', 'es']",R,46000000.0,,,5.9,70516.0,16 Jun 2000 (USA),Shaft,John Singleton,Ernest Tidyman,,Paul Hall,Steve Nicolaides,Paramount Pictures,Scott Rudin Productions,David Arnold,John Bloom,Donald E. Thorin,George DeTitta Jr.,Julie A. Bloom,Randall Balsmeyer
The Gift,tt0219699,219699.0,112,"['Cate Blanchett', 'Giovanni Ribisi', 'Keanu Reeves', 'Katie Holmes', 'Greg Kinnear', 'Hilary Swank', 'Michael Jeter', 'Kim Dickens', 'Gary Cole', 'Rosemary Harris', 'J.K. Simmons', 'Chelcie Ross', 'John Beasley', 'Lynnsee Provence', 'Hunter McGilvray', 'Nathan Lee Lewis', 'Benjamin Peacock', 'Clay James', 'David Brannen', 'Russell Durham Comegys', 'Janell McLeod', 'Robby Preddy', 'Lucky Lawrence', 'Mo', 'Boots Kutz', 'Buck Edwards', 'D.J. Pawlak', 'Kipp Chambers', 'Dallas Johnson', 'Stuart Greer', 'Jeff Bragg', 'Danny Elfman', 'S.D. Stephens', 'Samuel E. Parlin Jr.', 'Ed Reddick', 'Rebecca Koon', 'Erik Cord', 'Cameron Beach', 'Sam Edens', 'Earl Maddox', 'Shawn McBride', 'Ray Wineteer', 'Yvetta Young']","['Drama', 'Fantasy', 'Horror', 'Mystery']",['us'],['en'],R,10000000.0,"$11,827, 29 Dec 2000",44567606.0,6.6,60078.0,19 Jan 2001 (USA),The Gift,Sam Raimi,Billy Bob Thornton,Tom Epperson,Grant Curtis,Sean Daniel,Lakeshore Entertainment,Alphaville Films,Christopher Young,Arthur Coburn,Jamie Anderson,Marthe Pineau,Stacey Beneville,Kelly G. Crawford
The Kid,tt0219854,219854.0,104,"['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer', 'Lily Tomlin', 'Jean Smart', 'Chi McBride', 'Daniel von Bargen', 'Dana Ivey', 'Susan Dalian', 'Stanley Anderson', 'Juanita Moore', 'Esther Scott', 'Deborah May', 'Vernee Watson', 'Jan Hoag', 'Melissa McCarthy', 'Elizabeth Arlen', 'Alexandra Barreto', 'John Apicella', 'Brian McGregor', 'Reiley McClendon', 'Brian Tibbetts', 'Brian McLaughlin', 'Steve Tom', 'Marc Copage', 'Rod McLachlan', 'Scott Mosenson', 'Brian Fenwick', 'Duke Faeger', 'Toshiya Agata', 'Joshua Finkel', 'Lou Beatty Jr.', 'E.J. Callahan', 'Daryl Anderson', 'Darrell Foster', 'Michael Wajacs', 'John Travis', 'Larry King', 'Jeri Ryan', 'Nick Chinlund', 'Stuart Scott', 'Rich Eisen', 'Harold Greene', 'Kevon Edmonds', 'Julia Waters', 'Maxine Waters Willard', 'Stephanie Spruill', 'David C. Fisher', 'Cuba Gooding Jr.', 'Tanisha Grant', 'Matt Hill', 'Molly Marlette', 'Paul Moncrief', 'Kelly Nish', 'Matthew Perry', 'Dayna Price', 'Travis Rosario', 'Luigi Francis Shorty Rossi', 'Tony Sampson', 'Sam Vincent', 'Gary Weeks']","['Comedy', 'Family', 'Fantasy']",['us'],['en'],PG,65000000.0,"$12,687,726, 09 Jul 2000",110317580.0,6.1,38676.0,07 Jul 2000 (USA),The Kid,Jon Turteltaub,Audrey Wells,,Stephen J. Eads,William M. Elvin,Chester Films Inc.,Junction,Marc Shaiman,Peter Honess,Peter Menzies Jr.,Larry Dias,David R. Ellis,Jon Aghassian
Red Planet,tt0199753,199753.0,106,"['Val Kilmer', 'Carrie-Anne Moss', 'Tom Sizemore', 'Benjamin Bratt', 'Simon Baker', 'Terence Stamp', 'Jessica Morton', 'Caroline Bossi', 'Bob Neill', 'Neil Ross']","['Action', 'Sci-Fi', 'Thriller']","['us', 'au']",['en'],PG-13,80000000.0,"$8,721,296, 12 Nov 2000",15983079.0,5.7,53290.0,10 Nov 2000 (USA),Red Planet,Antony Hoffman,Chuck Pfarrer,,Bruce Berman,Mark Canton,Warner Bros.,Village Roadshow Pictures,Graeme Revell,Robert K. Lambert,Peter Suschitzky,Brian Dusting,Matthew Bartley,Victor Abbene
Rules of Engagement,tt0160797,160797.0,128,"['Tommy Lee Jones', 'Samuel L. Jackson', 'Guy Pearce', 'Ben Kingsley', 'Bruce Greenwood', 'Anne Archer', 'Blair Underwood', 'Philip Baker Hall', 'Dale Dye', 'Amidou', 'Mark Feuerstein', 'Richard McGonagle', 'Baoan Coleman', 'Nicky Katt', 'Ryan Hurst', 'Gordon Clapp', 'Hayden Tank', 'Ahmed Abounouom', 'William Gibson', 'Tuan Tran', 'John Speredakos', 'Scott Alan Smith', 'Jihane Kortobi', 'David Lewis Hays', 'Peter Tran', 'Bonnie Johnson', 'Jason C. West', 'Mohamed Attifi', 'Zouheir Mohamed', 'Chris Ufland', 'Thom Barry', 'Kevin Cooney', 'Helen Manning', 'David Graf', 'Conrad Bachmann', 'Aziz Assimi', 'Robert Pentz Jr.', 'Laird Macintosh', 'Baouyen C. Bruyere', 'Steven M. Gagnon', 'Richard Whiten', 'Tom Knickerbocker', 'Terry Bozeman', 'Mary Wickliffe', 'Jody Wood', 'Elayn J. Taylor', 'Todd Kimsey', 'Stephen Ramsey', 'G. Gordon Liddy', 'Mike Stokey', 'Jack Galle', 'John Barnett', 'Mike Bedmiston', 'Michael Gerald', 'Freddie Joe Farnsworth', 'Dennis Fitzgerald', 'Jim Boensch', 'Brian Maynard', 'Joseph Aguilar', 'Johnny Alonso', 'Benjamin Busch', 'Dani Englander', 'Lawrence Larsen', 'Christopher Marquez', ""LauraLee O'Shell"", 'Nate Panning', 'Chuck Paris', 'Marc Kenneth Robinson', 'Michael John Smith', 'André B. Walker']","['Drama', 'Thriller', 'War']","['gb', 'de', 'ca', 'us']","['en', 'ar']",R,60000000.0,,71732303.0,6.4,42537.0,07 Apr 2000 (USA),Rules of Engagement,William Friedkin,Jim Webb,,Scott Rudin,Arne Schmidt,Paramount Pictures,Seven Arts Pictures,Mark Isham,Augie Hess,William A. Fraker,,Newt Arnold,Denise Ballantyne
