id,fid,name,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
tt1245112,1245112.0,[Rec] 2,85,"['Jonathan D. Mellor', 'Óscar Zafra', 'Ariel Casas', 'Alejandro Casaseca', 'Pablo Rosso', 'Rafa Parra', 'Pep Molina', 'Andrea Ros', 'Àlex Batllori', 'Pau Poch', 'Juli Fàbregas', 'Ferran Terraza', 'Claudia Silva', 'Martha Carbonell', 'Jorge-Yamam Serrano', 'Ana Isabel Velásquez', 'Carlos Lasarte', 'Chen Min Kao', 'Akemi Goto', 'David Vert', 'Carlos Olalla', 'Anna García Cuartero', 'Héctor Vidales', 'Lazzaro E. Oertli Ortiz', 'Alex Lameiro Blanch', 'Joan Hostench Martínez', 'Oscar Foronda', 'Manuela Velasco', 'Marga Villalonga', 'Ana Domínguez Ortiz', 'Laura Díez Mora', 'Sandra García', 'Gerard Espert', 'Jaume Balagueró', 'Paco Plaza', 'Nico Baixas', 'Javier Botet', 'Albert Grabuleda Capdevila', 'Pere Vall']","['Adventure', 'Horror', 'Mystery', 'Thriller']",['es'],['es'],R,5600000.0,,,6.5,65375.0,02 Oct 2009 (Spain),[Rec] 2,Jaume Balagueró,Jaume Balagueró,Manu Díaz,Carlos Fernández,Julio Fernández,Filmax,Televisión Española (TVE),,David Gallart,Pablo Rosso,,Adela Batiste,Rubén Algarra
tt1107860,1107860.0,The Maiden Heist,90,"['Christopher Walken', 'Joseph McKenna', 'Wynn Everett', 'Patricia B. Till', 'Marcia Gay Harden', 'Bhavesh Patel', 'Todd Weeks', 'Philip Dorn Hebert', 'Morgan Freeman', 'William H. Macy', 'Jim Chiros', 'Breckin Meyer', 'Stephen Stapinski', 'Bates Wilder', 'Anthony Cascio', 'Naheem R. Garcia', 'David J. Curtis', 'Bart A. Piscitello Jr.', 'James Welu', 'Christy Scott Cashman', 'Peter Darrigo', 'Douglass Bowen Flynn', 'Dale F. Appel', 'Ellen Becker-Gray', 'Beau C. Bedugnis', 'Eric Bruno Borgman', 'Joshua Brown', 'Gail Bruno', 'Burke Bryant', 'Lorenne Clarke', 'Vic Clay', 'Desiree April Connolly', 'Michael Anthony Coppola', 'Victoria Cyr', 'Elisangela DiAlencar', 'Roger Dillingham Jr.', 'Vincent J. Earnshaw', 'Scott C England', 'Keith Fluker', 'Shawn Fogarty', 'Jim Ford', 'David J. Garfield', 'Albert Gornie', 'Sophya Gudelman', 'Patrick Mel Hayes', 'Mark Hemphill', 'Eric Hofer', 'Lawrence Hollie', 'Edmund J. Janas', 'Marcela Jaramillo', 'Kimmie Johnson', 'Haytham Kandil', 'Glenn W. Kane', 'Jon Korzeniowski', 'Dan Marshall', 'Robert Masiello', 'Paul McGillicuddy', 'Todd Mello', 'Luis Moco', 'Tarek Moussa', ""Michael P. O'Toole"", 'Giovanni Pantaleo', 'Michael J. Peluso', 'Osmani Rodriguez', 'Edward A. Sherman IV', 'Billy Silvia', 'Lars-Erik J. Siren', 'Ben Skinner', 'Rich Skinner', 'Chuck Slavin', 'Vyvian B. Stevens', 'Kal Thompson', 'Fraser Townley', 'Amanda Wall', 'Donald Warnock', 'A.G. Wilde', 'Rob Williams', 'Jimm Wilson', 'Ashley Wolfe', 'Darryl Wooten', 'Adam Zalt']","['Comedy', 'Crime']",['us'],['en'],PG-13,20000000.0,,,6.1,14880.0,08 Jul 2010 (Portugal),The Maiden Heist,Peter Hewitt,Michael LeSieur,,Dennis Brown,Morgan Freeman,Yari Film Group (YFG),Revelations Entertainment,Rupert Gregson-Williams,Carole Kravetz Aykanian,Ueli Steiger,Lisa Nilsson,Paul F. Bernard,Briana Aeby
tt1318044,1318044.0,American Virgin,88,"['Jenna Dewan', 'Bo Burnham', 'Brianne Davis', 'Rob Schneider', 'Elan Moss-Bachrach', 'Chase Ryan Jeffery', 'Ashley Schneider', 'Ben Marten', 'Bridgette Pechman', 'Michael Dailey', 'Jean Lyle Lepard', 'Sarah Habel', 'Samantha Moltmaker', 'Matt Lockwood', 'Ruth Crawford', 'Jacquelyn Evola', 'David Fletcher', 'Andrea Langmeyer', 'Barbara Dacko', 'Brian Matthew Richardson', 'Tom Whalen', 'Alisha Gellin', 'Duncan Hursley', 'Alexander Zikakis', 'Kyra D. Jackson', 'Bettina Beckman', 'Brandan Gugula', 'Andrea Harrison', 'Connell Brown', 'Renee Scavone', 'Stephanie Scarletta', 'Karan Batta', 'Gary Wojnar', 'Jodi Gabrielle Beals', 'Ryan Buck', 'Ron Causey', 'Matthew Cieslinski', 'Tobias Dawson', 'Anna Dutcher', 'Scott Joel Gizicki', 'Dave Kilgore', 'Brad Leo Lyon', 'Mary Mac', 'William S. McIntire', 'Jessica McLarty', 'Tiffany Osborne', 'Jacqueline Pruder', 'Donald Schell', 'Patrick Shaltry', 'Carson Taylor', 'Garrett Thierry', 'Brynn Alana Titone', 'Brett VanDunk', 'Amanda Wright']",['Comedy'],['us'],['en'],R,4000000.0,,,4.3,7401.0,19 May 2010 (Philippines),American Virgin,Clare Kilner,Jeff Seeman,,S.F. Atkins,Charles Arthur Berg,,,John Hunter,Keith A. Cox,Oliver Curtis,Kim Thrasher,Paul Silver,Kent Demaine
tt0437405,437405.0,Paper Man,110,"['Lisa Kudrow', 'Jeff Daniels', 'Ryan Reynolds', 'Emma Stone', 'Kieran Culkin', 'Hunter Parrish', 'Eric Gilliland', 'Louis Rosario', 'Conrad Wolfe', 'Arabella Field', 'Chris Parnell', 'Brian T. Finney', 'Brian Patrick Russell', 'Jill Shackner', ""Violet O'Neill"", 'Michael Heintzman']","['Comedy', 'Drama']",['us'],['en'],R,,"$8,613, 25 Apr 2010",,6.6,17568.0,01 May 2014 (South Korea),Paper Man,Kieran Mulroney,Michele Mulroney,Kieran Mulroney,Guymon Casady,Dan Fireman,Artfire Films,Entertainment 360,Mark McAdam,Sam Seig,Eigil Bryld,Betsy Klompus,David Blazina,Randall Balsmeyer
tt1147684,1147684.0,Forget Me Not,103,"['Carly Schroeder', 'Cody Linley', 'Micah Alberti', 'Brie Gabrielle', 'Jillian Murray', 'Zachary Abel', 'Sean Wing', 'Chloe Bridges', 'Brittany Renee Finamore', 'Bella Thorne', 'Courtney Biggs', 'Barbara Bain', 'Dan Gauthier', 'Christopher Atkins', 'Julie Janney', 'Marc McTizic', 'Mark Kemble', 'Sam Endicott', 'Charles Dierkop', 'Alex Mauriello', 'Robby D. Bruce', 'Joey Luthman', 'Kenton Duty', 'Sacha Edwards', 'Kylie Chalfa', 'Johnny Latson', 'Saige Ryan', 'Ron Roggé', 'Ward Swan', 'Roxana Ortega', 'Fiona Goodwin', 'Jamieson Stern', 'Brian David Graves', 'Lauren Graves', 'Christina Gabrielle', 'Raven Lexy', 'Roberto Quijano', 'Wencke Synak', 'Lindsey Warm']","['Horror', 'Romance', 'Thriller']",['us'],['en'],R,1300000.0,,,5.2,5573.0,03 Aug 2011 (Philippines),Forget Me Not,Tyler Oliver,Jamieson Stern,Tyler Oliver,Charles M. Fries,Sanford Hampton,Capstone Entertainment Group,Vindicated Pictures,Elia Cmiral,Radu Ion,Eric Leach,Marcel Victor Prefontaine,Matthew Ackerson,Andrew Bardusk
tt1134629,1134629.0,The Private Lives of Pippa Lee,98,"['Robin Wright', 'Mike Binder', 'Alan Arkin', 'Winona Ryder', 'Ryan McDonald', 'Cornel West', 'Maria Bello', 'Arnie Burton', 'Tim Guinee', 'Drew Beasley', 'Madeline McNulty', 'Beckett Melville', 'Zoe Kazan', 'Billy Wheelan', 'Shirley Knight', 'Keanu Reeves', 'Joan Copeland', 'J.R. Horne', 'Blake Lively', 'Adam Shonkwiler', 'Richard DeDomenico', 'Robin Weigert', 'Julianne Moore', 'Christin Sawyer Davis', 'Dan DeLuca', 'Adam Grupper', 'Sean-Michael Bowles', 'Audrey Lynn Weston', 'Sean Casey', 'Monica Bellucci', 'Angela Trento', 'Teresa Yenque', 'Lola Pashalinski', 'Myra Lucretia Taylor', 'Annie Purcell', 'Marc Alan Austen', 'David Boston', 'Andrew Bradley', 'Edie Hofstatter', 'Marca Leigh', 'Shane Mehigan', 'Rich Rothbell', 'Harry L. Seddon']","['Comedy', 'Drama', 'Romance']",['us'],['en'],R,,,,6.4,12461.0,10 Jul 2009 (UK),The Private Lives of Pippa Lee,Rebecca Miller,Rebecca Miller,,Jean-Luc De Fanti,Jill Footlick,Grand Army Entertainment,IM Global,Michael Rohatyn,Sabine Hoffman,Declan Quinn,Cherish M. Hale,Francois Caillaud,Glen Bennett
tt1248971,1248971.0,Cherrybomb,86,"['Rupert Grint', 'Robert Sheehan', 'James Nesbitt', 'Niamh Quinn', 'Paul Kennedy', 'Conor MacNeill', 'Greer Ellison', 'Kat Kirk', 'Kimberley Nixon', 'Kathy Kiera Clarke', 'Lalor Roddy', 'Paul Garrett', 'Paul Caddell', 'Richard Orr', 'Bronach Lawlor', 'Maggie Hayes', 'Markus Allan Black']","['Drama', 'Thriller']",['gb'],['en'],Not Rated,,,,5.9,6851.0,23 Apr 2010 (UK),Cherrybomb,Lisa Barros D'Sa,Daragh Carville,,Simon Bosanquet,Michael Casey,Generator Entertainment,Green Park Films,Stephen Hilton,Nick Emerson,Damien Elliott,,Sean Roe Curran,Aled Rhys Jones
tt1268809,1268809.0,Night of the Demons,93,"['Tatyana Kanavka', 'Michael Arata', 'Shannon Elizabeth', 'Linnea Quigley', 'Bryce Arata', 'Addy Rome', 'John F. Beach', 'Michael Copon', 'Zachary James Bernard', 'Diora Baird', 'Monica Keena', 'Bobbi Sue Luther', 'Edward Furlong', 'Irina Beskaravaynaya', 'Jamie Harris', 'Delilah Donovan', 'Tiffany Shepis', 'Hans Longo', 'Tiffany Jackson', 'Erica Grant', 'Lance E. Nichols', 'Eric F. Adams', 'Noor Alhomsi', 'Garrett Allain', 'Cameron Boudreaux-Hose', 'Tony Brown', 'Deejay Buras', 'Janine Habeck', 'Levi Holiman', 'Jade Michael LaFont', 'Natalie Nicole', 'Holly Rochelle', 'Valerie Rodriguez', 'Antoine Spillers', 'Oakley Stevenson', 'Elizabeth Tranchant', 'Ben Dennis Webster']","['Action', 'Comedy', 'Horror', 'Thriller']",['us'],"['en', 'ru']",R,10000000.0,,,4.7,6813.0,26 May 2011 (Argentina),Night of the Demons,Adam Gierasch,Jace Anderson,Adam Gierasch,Michael Arata,Jerry Daigle,Cold Fusion Media Group,Parallel Media,Joseph Bishara,Andrew Cohen,Yaron Levy,Michelle Marchand II,Clay Achee,Brian Dickett
tt0910554,910554.0,Frequently Asked Questions About Time Travel,83,"[""Chris O'Dowd"", 'Marc Wootton', 'Dean Lennox Kelly', 'Anna Faris', 'Meredith MacNeill', 'Ray Gardner', 'Nick Ewans', 'Arthur Nightingale', 'Paul Adams', 'Dario Attanasio', 'John Snowden', 'John Warman']","['Comedy', 'Sci-Fi']",['gb'],['en'],PG-13,,,,7.1,30903.0,24 Apr 2009 (UK),Frequently Asked Questions About Time Travel,Gareth Carrivick,Jamie Mathieson,,Charlotte Ashby,Michas Kotz,BBC Films,Dog Lamp Films,James L. Venable,Chris Blunden,John Pardue,Tina Charad,Vicki Allen,Geoffrey R. Case
tt1183921,1183921.0,The Vicious Kind,92,"['Adam Scott', 'Brittany Snow', 'Alex Frost', 'J.K. Simmons', 'Vittorio Brahm', 'Bill Buell', 'Alysia Reiner', 'Kate Krieger', 'Jordan Reid', 'Anne Gill', 'Emily Jo', 'Jim Ford', 'Kevin Rogers', 'Rebecca Nickeas', 'Robert Bizik', 'Angela Wheaton']","['Comedy', 'Drama']",['us'],['en'],R,,,,7.0,7315.0,,The Vicious Kind,Lee Toland Krieger,Lee Toland Krieger,,Shahrzad Davani,Dallas Dickinson,72nd Street Productions,Candleridge Entertainment,Jeff Cardoni,Gino Roy,Bradley Stonesifer,,Frank Dauro,Aaron Peak
