name,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects,id,fid
George Washington,89,"['Candace Evanofski', 'Donald Holden', 'Damian Jewan Lee', 'Curtis Cotton III', 'Rachael Handy', 'Paul Schneider', 'Eddie Rouse', 'Janet Taylor', 'Derricka Rolle', 'Ebony Jones', 'Jonathan Davidson', 'Scott Clackum', 'Beau Nix', 'Jason Shirley', 'William Tipton', 'Balla Keita', 'Will Janowitz', 'Shannon Davis', 'Ryan Morris', 'Christian Gustaitis', 'Joyce Mahaffey', ""Johnnie 'Blue' Gardner"", 'Rudy Anderson', 'Henry Harris', 'Alan Thompson', 'Stephanie Grant', 'Tabitha Bell', 'Chris Kennedy', 'Richard Skaggs', 'Stephen Vazquez', 'Jocelyn Bond', 'Kimberley Rogers', 'Olivia Constance Walker', 'Yolanda Hairston', 'Thomas Cormier', 'Christof Gebert', 'Clinton Campbell Jr.', 'Smokey']",['Drama'],['us'],['en'],Not Rated,42000.0,"$13,335, 29 Oct 2000",,7.4,7345.0,28 Sep 2001 (UK),George Washington,David Gordon Green,David Gordon Green,,Sam Froelich,David Gordon Green,Free Country U.S.A.,Youandwhatarmy Filmed Challenges,Michael Linnen,Zene Baker,Tim Orr,,Benji Gillespie,,tt0262432,262432.0
Lockdown,105,"['Richard T. Jones', 'Gabriel Casseus', ""De'aundre Bonds"", 'Master P', 'Melissa De Sousa', 'Bill Nunn', 'Clifton Powell', 'Sticky Fingaz', ""David 'Shark' Fralick"", 'Anna Maria Horsford', 'Chrystale Wilson', 'Paulette Braxton', 'Mike Butters', 'Joe Torry', 'Mary Evans', 'Anthony Boswell', 'Darcas Macopson', 'Lloyd Avery II', 'Courtney McLean', 'Antonio Lewis Todd', 'David Nickey', 'Tait Fletcher', 'Tracy Hightower', 'Jesús González', 'Devon Lumpkin', 'Mikel Lumpkin', 'Darrell Young', 'Dianna St. Hilaire', 'Debra Johns', 'Bud White', 'Doug Berryman', 'Darrold Morris', 'Mark Fourte', 'Amy Lawrence', 'Edward Sisneros', 'Dorsey Ray', 'La Wanda Johnson', 'Harriett Levine', 'Forrest Fyre', 'Kevin Kennedy', 'Gary D. Williams', 'Timothy Richard Hopper', 'Freddy Deane', 'Stanis K. Askew', 'Rodney Bowe', 'Lowell Burton Jr.', 'Darnell Cameron', 'Lucas Critchfield', 'Debra Nelson', 'Talena L. Hines', 'Shirley Holden', 'Wanda John', 'Wilma John', 'Tiffany Johnson', 'Mark McConnell', 'Charlie Mitchell', 'Yolanda Olivas', 'Lamont Paige', 'Tom Robinson', 'Viola Valdez', 'Ameer Baraka', 'Richard Barela', 'Deborah Chavez', 'Bil Clement', 'Angelo Dimascio', 'Andrew Divoff', 'Russell Gannon', 'Jimmy Keller', 'Wolfgang Lindemann', 'Eric Martinez', 'Mike McKenny', ""James 'JR' Pollard"", 'J. Nathan Simmons', 'Chris Talley', 'Anthony M. Trujillo']","['Drama', 'Thriller']",['us'],['en'],R,,"$83,377, 21 Feb 2003",,6.2,2340.0,,Lockdown,John Luessenhop,Preston A. Whitmore II,,Eric Abrahamson,Mark Burg,Evolution Entertainment,No Limit Films,John Frizzell,Joseph Gutowski,Chris Chomyn,Heidi Mayfield,Alexander H. Gayner,Douglas Salkin,tt0196708,196708.0
Versus,119,"['Tak Sakaguchi', 'Hideo Sakaki', 'Chieko Misaka', 'Kenji Matsuda', 'Yuichiro Arai', 'Minoru Matsumoto', 'Kazuhito Ohba', 'Takehiro Katayama', 'Ayumi Yoshihara', 'Shôichirô Masumoto', 'Toshiro Kamiaka', 'Yukihito Tanikado', 'Hoshimi Asai', 'Ryosuke Watabe', 'Motonari Komiya', 'Reika Kirishima', 'Hideo Kojima']","['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Thriller']",['jp'],"['en', 'ja']",Unrated,400000.0,,,6.4,12070.0,20 Feb 2002 (France),Versus,Ryûhei Kitamura,Ryûhei Kitamura,Yudai Yamaguchi,Hideo Nishimura,Keishiro Shin,WEVCO Produce Company,napalm FiLMS,Nobuhiko Morino,Shûichi Kakesu,Takumi Furuya,,Yudai Yamaguchi,,tt0275773,275773.0
Love's Labour's Lost,93,"['Alessandro Nivola', 'Alicia Silverstone', 'Natascha McElhone', 'Kenneth Branagh', 'Carmen Ejogo', 'Matthew Lillard', 'Adrian Lester', 'Emily Mortimer', 'Richard Briers', 'Geraldine McEwan', 'Stefania Rocca', 'Jimmy Yuill', 'Nathan Lane', 'Timothy Spall', ""Anthony O'Donnell"", 'Daniel Hill', 'Richard Clifford', 'Alfred Bell', 'Daisy Gough', 'Graham Hubbard', 'Paul Moody', 'Yvonne Riley', 'Iain Stuart Robertson', 'Emma Scott', 'Amy Tez', 'Nikki Abraham', 'Colin Barrett', 'Jonathan Blazer', 'Catherine Dugdale', 'Michele Du Verney', 'Richard Joseph', 'Trudi Swift', 'Bryn Walters', 'Dan Farrell', 'Tim Packham']","['Romance', 'Comedy', 'Musical']","['gb', 'fr', 'us']",['en'],PG,13000000.0,,,6.0,4221.0,24 Mar 2000 (Norway),Love's Labour's Lost,Kenneth Branagh,William Shakespeare,,David Barron,Kenneth Branagh,Pathé Pictures International,Intermedia Films,Patrick Doyle,Dan Farrell,Alex Thomson,Celia Bobak,David Gilchrist,Angus Cameron,tt0182295,182295.0
Across the Line,99,"['Brian Bloom', 'Justin Urich', 'Brad Johnson', 'Sigal Erez', 'Tony Perez', 'Dave Silva', 'Julia Vera', 'Jullian Dulce Vida', 'Roger Velasco', 'Amit Knust', 'Joshua Gallegos', 'Mark Adair-Rios', 'Luis Contreras', 'Carlos Carrasco', 'Marshall R. Teague', 'Ernest M. Garcia', 'Timothy Dale Agee', 'Adrienne Barbeau', 'Steve Vinovich', 'Thomas Rosales Jr.', 'Stephen Spacek', 'Don William Owen', 'Bea Silvern', 'John Vargas', 'David Sparrow', 'Natalia Lazarus', 'J.C. Quinn', 'Courtney Gebhart', 'Monique Edwards', 'Martin Morales', 'Elise Robins', 'Paul Toth']","['Drama', 'Thriller']",['us'],['en'],R,,,,5.5,217.0,01 Feb 2000 (USA),Across the Line,Martin Spottl,Sigal Erez,Martin Spottl,Ami Artzi,Brian Duncan,High Water Films,High Water Films,Charlie Daniels,Ivan Ladizinsky,Maximo Munzi,,Neil Daly,Christopher Dusendschon,tt0164318,164318.0
Josh,162,"['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Chandrachur Singh', 'Sharad S. Kapoor', 'Priya Gill', 'Sharat Saxena', 'Vivek Vaswani', 'Anjan Srivastav', 'Kumar Bharadwaj', 'Suhas Joshi', 'Nadira', 'Ruhshad Nariman Daruwalla', 'Saandesh Nayak', 'Shraddha Nigam', 'Sushant Singh', 'Puneet Vashist']","['Action', 'Drama', 'Musical', 'Romance']",['in'],['hi'],R::(self-applied),,,7112773.0,6.1,8823.0,09 Jun 2000 (India),Josh,Mansoor Khan,Aatish Kapadia,,Ganesh Jain,Umed Jain,United Seven Combines,Venus Records & Tapes,Anjan Biswas,Dilip Kotalgi,K.V. Anand,,Piyush Acharya,,tt0151150,151150.0
Dinner Rush,99,"['Danny Aiello', 'John Rothman', 'Frank Bongiorno', 'Lexie Sperduto', 'Zainab Jah', 'Alex Corrado', 'Michael McGlone', 'Walt MacPherson', 'Polly Draper', 'Edoardo Ballerini', 'Vivian Wu', 'Manny Perez', 'Ajay Naidu', 'Andre Haynes Richarson', 'Summer Phoenix', 'Jamie Harris', 'Tessa Ghylin', 'Jimmy Shkelqim', 'Nurul Raque', 'John Patrick Walker', 'Gabriel Jiménez', 'Andre De Leon', 'Joe Gatti Jr.', 'John Corbett', 'Kirk Acevedo', 'Mark Margolis', 'Annika Peterson', 'Juan Carlos Hernández', 'Luigi Celentano', 'Jonathan Chodosh', 'Ted Koch', 'Doreen Dunlap', 'Julie Zeger', 'David Phillips', 'Marcus Schenkenberg', 'Jennifer Griffin Chambers', 'Sandra Bernhard', 'Sophie Comet', 'Ellen McElduff', 'Marita Stavrou', 'Minnie Giraldi', 'Roma Torre', 'David Díaz', 'Fanshen Cox', 'Desiree Dymond', 'Zoe Hunter', 'Aaron Macerelli', 'Emmanuel Todorov']","['Crime', 'Drama', 'Romance']",['us'],"['en', 'it', 'fr']",R,,"$110,000, 30 Sep 2001",,7.3,4746.0,29 Mar 2002 (UK),Dinner Rush,Bob Giraldi,Rick Shaughnessy,Brian S. Kalata,Michael Baumont,Robert Cheren,Access Motion Picture Group,Giraldi-Suarez-DiGiaimo Productions,Alex Lasarenko,Allyson C. Johnson,Tim Ives,Ondine Karady,Joan G. Bostwick,,tt0229340,229340.0
Trois,93,"['Gary Dourdan', 'Gretchen Palmer', 'Kenya Moore', 'Soloman K. Smith', 'Thomas Jefferson Byrd', 'Chrystale Wilson', 'Bryce Wilson', 'Jay Jones', 'Tariq Holloway', 'Donna Biscoe', 'George Williams', 'Ron N. Binder', 'Gregory W. Anderson', 'Tom Rowley', 'Chato Waters', 'Roxanne Ferguson', 'Kishawnna Terry', 'Dionne Gipson', 'Roxzane T. Mims', 'Carl Anthony', 'K.J. Rose', 'El Rock', 'Avery Johnson', 'Billy Odum', 'Melvin Baldwin', 'Rob Hardy', 'Will Packer', 'Wendy Delouche', 'Tory Hunter', 'Ryan McNally', 'Susan Stevens', 'Luchia Ashe', 'Terry Bello', 'Kellie Ray', 'Janet Jack', 'Thomasina McCoy', 'Dori Hunter', 'Aaron Bing', 'Ryan Cameron', 'Troy D. Evans', 'Sixx']","['Romance', 'Thriller']",['us'],['en'],R,200000.0,"$200,815, 13 Feb 2000",,4.1,577.0,10 Mar 2000 (USA),Trois,Rob Hardy,Rob Hardy,,Gregory Ramon Anderson,Aaron Goodwin,Rainforest Films,Rainforest Productions,Steven Gutheinz,Griff Thomas,Charles Mills,Tyrone Jackson,Kishawnna Terry,,tt0217107,217107.0
Maybe Baby,104,"['Joely Richardson', 'Matthew Macfadyen', 'Hugh Laurie', 'Adrian Lester', 'Yasmin Bannerman', 'Joanna Lumley', 'Rachael Stirling', 'Dave Thompson', 'Emma Thompson', 'Stephen Simms', 'John Brenner', 'Jaz Wilson', 'James Purefoy', 'Guy Barrett', 'Deila Bhujoo', 'Abbey Careford', 'Marina Fiorato', 'Richard Leaf', 'Lidija Zovkic', 'Tom Hollander', 'Connor Pearce', 'Henrietta Garden', 'Richard Sandells', 'Emma Cooke', 'Shelley Conn', 'Stephanie Bartczak', 'Chris Belgrave', 'Catriona Pearson', 'Judith Shekoni', 'Rowan Atkinson', 'Paul Ready', 'Paul Tripp', 'Gemma Aston', 'Lisa Palfrey', 'Serena Evans', 'Katisha Kenyon', 'Anneli Harrison', 'Caroline Hayes', 'Elizabeth Woodcock', 'John Lightbody', 'Mina Anwar', 'Junix Inocian', 'John Fortune', 'Sally Reeve', 'Kelly Reilly', 'Dawn French', 'Emma Buckley', 'Karen Bryson', 'Stephen Hawke', 'Jeremy Caleb Johnson']","['Comedy', 'Romance']",['gb'],['en'],R,,,,5.7,5436.0,02 Jun 2000 (UK),Maybe Baby,Ben Elton,Ben Elton,,Lucy Ansbro,Ernst Goldschmidt,Pandora Cinema,BBC Films,Colin Towns,Peter Hollywood,Roger Lanser,Maggie Gray,Sara Desmond,Helen Ball,tt0206926,206926.0
MVP: Most Valuable Primate,93,"['Bernie', 'Louie', 'Mac', 'Russell Ferrier', 'Lomax Study', 'Kevin Zegers', 'Jamie Renée Smith', 'Alexa Fox', 'Jane Sowerby', 'Ingrid Tesch', 'Philip Granger', 'Rick Ducommun', 'Aaron Smolinski', 'Shane Vajda', 'Trevor Roberts', 'Ray Galletti', 'Myles Ferguson', 'Stanley Katz', 'Dave Thomas', 'David Lewis', 'Oliver Muirhead', 'Miles McNamara', 'Nick Misura', 'John B. Lowe', 'Kirby Morrow', 'Debra Donohue', 'Dolores Drake', 'Christine Willes', 'Jay Brazeau', 'Darryl Davis', 'Ralph Alderman', 'Frank C. Turner', 'Ann Warn Pegg', 'Campbell Lane', 'Lois Dellar', 'John Harris', 'Helen Honeywell', 'Robert Lee', 'Jim Hughson', 'Matt Barkley', 'Tyler Belding', 'Phil Britz', 'Matt Brown-Warr', 'Alex Burns', 'Colin Bykowski', 'Matt Calleghan', 'Noah Carter', 'Chris Clarke', 'Ian Drysdale', 'Bryan Fenton', 'Shaun Fortier', 'Daniel Fortuna', 'Tomas Graham', 'Sean Grove', 'Steve Grover', 'Danny Gurniak', 'Dave Gurniak', 'Sean Gurniak', 'Jared Harmon', 'Dave Harriman', 'Kent Kirkland', 'Danny Lang', 'Jason Lang', 'Tyler Lemire', 'Ben Lypka', 'Jack Lypka', 'Brennan McClay', 'Parker Makaym', 'Kramer Matheson', 'John Minns', 'Aaron Moore', 'Brent Moore', 'Jon Moore', 'Sean Pallister', 'Matt Ryan', 'Jared Stevens', 'Rob Sweatman', 'Brendan Takata', 'Bryan Taylor', 'James Taylor', 'Larry Taylor', 'Cole Verkuylen', 'Robert Vince', 'Brent Wass', 'Mark West', 'Matt Whyte', 'Scott Whyte', 'Patrick Cranshaw', 'R. Nelson Brown', 'Mark McConchie', 'Ryan Northcott']","['Comedy', 'Family', 'Sport']","['ca', 'us']",['en'],PG,4500000.0,,,4.0,2143.0,11 Aug 2000 (Canada),MVP: Most Valuable Primate,Robert Vince,Anne Vince,Robert Vince,Richard Bullock,Ian Fodie,Keystone Family Pictures,Film Incentive B.C.,Brahm Wenger,Kelly Herron,Glen Winter,James Willcock,Scott J. Ateah,Mak Abdel-Hai,tt0196106,196106.0
