Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
George Washington,2000,Not Rated,28 Sep 2001,89 min,Drama,David Gordon Green,David Gordon Green,"Candace Evanofski, Donald Holden, Damian Jewan Lee, Curtis Cotton III","A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.",English,USA,9 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.4,"7,331",tt0262432,movie,12 Mar 2002,N/A,Code Red,N/A,True
Lockdown,2000,R,04 Feb 2001,105 min,"Drama, Thriller",John Luessenhop,Preston A. Whitmore II,"Richard T. Jones, Gabriel Casseus, De'aundre Bonds, Master P","Avery (Jones) returns to college as a competitive swimmer after getting his life back on track. But his life takes another unexpected turn when he and his two friends (Bonds, Casseus) are wrongly accused of murder and end up in prison.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"2,327",tt0196708,movie,N/A,N/A,N/A,N/A,True
Versus,2000,R,20 Feb 2002,119 min,"Action, Comedy, Drama, Fantasy, Horror, Romance, Thriller",Ryûhei Kitamura,"Ryûhei Kitamura (screenplay), Yudai Yamaguchi (screenplay)","Tak Sakaguchi, Hideo Sakaki, Chieko Misaka, Kenji Matsuda",There are 666 portals that connect this world to the other side. These are concealed from all human beings. Somewhere in Japan exists the 444th portal.... The forest of resurrection.,"English, Japanese",Japan,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.4,"12,055",tt0275773,movie,29 Jul 2003,N/A,Napalm Films,N/A,True
Love's Labour's Lost,2000,PG,31 Mar 2000,93 min,"Romance, Comedy, Musical",Kenneth Branagh,"William Shakespeare (play), Kenneth Branagh (screenplay)","Alessandro Nivola, Alicia Silverstone, Natascha McElhone, Kenneth Branagh","An update of the classic Shakespeare story, Director Sir Kenneth Branagh shot this movie like a classic 1930s musical. This movie tells the story of four best friends who swear off love.",English,"UK, France, USA",1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"4,173",tt0182295,movie,19 Dec 2000,N/A,Miramax Films,N/A,True
Across the Line,2000,R,01 Feb 2000,99 min,"Drama, Thriller",Martin Spottl,"Sigal Erez, Martin Spottl","Brian Bloom, Justin Urich, Brad Johnson, Sigal Erez",A small-town sheriff falls in love with a Latina illegal immigrant who witnessed a murder on the Texas border.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,207,tt0164318,movie,12 Sep 2000,N/A,Avalanche Entertainment,N/A,True
Josh,2000,R,09 Jun 2000,162 min,"Action, Drama, Musical, Romance",Mansoor Khan,"Aatish Kapadia (dialogue), Mansoor Khan (screenplay), Mansoor Khan (story), Nidhi Tuli (dialogue), Neeraj Vora (dialogue), Neeraj Vora (screenplay)","Shah Rukh Khan, Aishwarya Rai Bachchan, Chandrachur Singh, Sharad S. Kapoor",Shah Rukh Khan and Sharad Kapoor are the leaders of the two rival gangs. Aishwarya Rai is Shah Rukh Khan's twin sister. Shah Rukh is in love with Priya Gill. Chandrachur Singh is Sharad ...,Hindi,India,2 wins & 19 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"8,822",tt0151150,movie,13 Sep 2005,N/A,Great India Films,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Dinner Rush,2000,R,29 Mar 2002,99 min,"Crime, Drama, Romance",Bob Giraldi,"Rick Shaughnessy, Brian S. Kalata","Danny Aiello, John Rothman, Frank Bongiorno, Lexie Sperduto","At a popular NYC Italian restaurant on a dramatic, busy evening, there are 2 gangsters, cop detective, food-critic, ex bookmaker owner, his chef son, indebted gambler sous-chef etc.","English, Italian, French",USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.3,"4,746",tt0229340,movie,21 Jan 2003,N/A,Access Motion Picture Group,N/A,True
Trois,2000,R,10 Mar 2000,93 min,"Romance, Thriller",Rob Hardy,"Rob Hardy, Will Packer, Will Power (story), Valencia Walker","Gary Dourdan, Gretchen Palmer, Kenya Moore, Soloman K. Smith","Jermaine, a young struggling Atlanta lawyer, decides to spruce up his marriage with Jasmine, who's mentally recovering from an abusive previous relationship, by hiring Jade, a bisexual ...",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,577,tt0217107,movie,28 Nov 2000,N/A,Rainforest Porductions,N/A,True
Maybe Baby,2000,R,24 Aug 2001,104 min,"Comedy, Romance","Ben Elton, Hugh Laurie",Ben Elton (novel),"Joely Richardson, Matthew Macfadyen, Hugh Laurie, Adrian Lester",A comedy about a couple (Hugh Laurie and Joely Richardson) who are trying to conceive a child.,English,UK,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.7,"5,402",tt0206926,movie,09 Apr 2002,N/A,USA Films,N/A,True
