Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Charlie's Angels,2019,PG-13,15 Nov 2019,118 min,"Action, Adventure, Comedy",Elizabeth Banks,"Elizabeth Banks (screenplay), Evan Spiliotopoulos (story by), David Auburn (story by)","Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,3.9,"10,241",tt5033998,movie,N/A,N/A,Sony Pictures,N/A,True
The Grinch,2018,PG,09 Nov 2018,85 min,"Animation, Family, Fantasy","Yarrow Cheney, Scott Mosier","Michael LeSieur (screenplay by), Tommy Swerdlow (screenplay by), Dr. Seuss (based on the book ""How The Grinch Stole Christmas"" by)","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,English,"France, Japan, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.3,"33,617",tt2709692,movie,05 Feb 2019,N/A,Universal Pictures,N/A,True
X-Men: The Animated Series,1992–1997,TV-Y7,31 Oct 1992,23 min,"Animation, Action, Family, Sci-Fi, Thriller",N/A,"Mark Edward Edens, Sidney Iwanter, Eric Lewald, Margaret Loesch","Cathal J. Dodd, George Buza, Norm Spencer, Cedric Smith",A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,English,"USA, Canada",N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"34,598",tt0103584,series,,,,,True
Scream,1996,R,20 Dec 1996,111 min,"Horror, Mystery",Wes Craven,Kevin Williamson,"Drew Barrymore, Roger Jackson, Kevin Patrick Walls, David Booth","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",English,USA,7 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.2,"265,806",tt0117571,movie,02 Dec 1997,N/A,Miramax Films,N/A,True
The Family Man,2019–,N/A,19 Sep 2019,45 min,"Action, Comedy, Drama",N/A,"Krishna D.K., Raj Nidimoru","Manoj Bajpayee, Priyamani, Sharib Hashmi, Neeraj Madhav","The Family Man is an edgy action-drama series, which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the ...",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"10,920",tt9544034,series,,,,,True
Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118 min,"Action, Crime, Thriller",Dominic Sena,"H.B. Halicki, Scott Rosenberg (screenplay)","Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross",A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,English,USA,9 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.5,"248,939",tt0187078,movie,05 Dec 2000,"$100,978,700",Buena Vista Pictures,N/A,True
In the Mood for Love,2000,PG,09 Mar 2001,98 min,"Drama, Romance",Kar-Wai Wong,Kar-Wai Wong,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Cantonese, Shanghainese, French, Spanish","Hong Kong, China",Nominated for 1 BAFTA Film Award. Another 44 wins & 47 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"109,956",tt0118694,movie,05 Mar 2002,N/A,USA Films,N/A,True
Cheeky,2000,Not Rated,28 Jan 2000,91 min,"Comedy, Drama",Tinto Brass,"Tinto Brass, Carla Cipriani, Nicolaj Pennestri, Silvia Rossi, Massimiliano Zanin","Yuliya Mayarchuk, Jarno Berardi, Francesca Nunzi, Max Parodi","While scouting out apartments in London for her Venetian boyfriend, Carla rents an apartment that overlooks the Thames. There she meet the lesbian hyper-horny real estate agent Moira.","Italian, English",Italy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"4,443",tt0200192,movie,30 May 2006,N/A,N/A,N/A,True
"Crouching Tiger, Hidden Dragon",2000,PG-13,12 Jan 2001,120 min,"Action, Adventure, Fantasy, Romance",Ang Lee,"Du Lu Wang (book), Hui-Ling Wang (screenplay), James Schamus (screenplay), Kuo Jung Tsai (screenplay)","Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Mandarin,"Taiwan, Hong Kong, USA, China",Won 4 Oscars. Another 96 wins & 130 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,7.8,"242,542",tt0190332,movie,05 Jun 2001,N/A,Sony Pictures Classics,N/A,True
Battle Royale,2000,Not Rated,16 Dec 2000,114 min,"Adventure, Drama, Sci-Fi, Thriller",Kinji Fukasaku,"Koushun Takami (novel), Kenta Fukasaku (screenplay)","Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Japanese,Japan,7 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.6,"160,896",tt0266308,movie,20 Mar 2012,N/A,Anchor Bay Entertainment,N/A,True
