Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling (novel), Steve Kloves (screenplay)","Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",English,"UK, USA",Nominated for 3 Oscars. Another 17 wins & 62 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.6,"583,566",tt0241527,movie,28 May 2002,"$317,557,891",Warner Bros. Pictures,N/A,True
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,19 Dec 2001,178 min,"Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Alan Howard, Noel Appleby, Sean Astin, Sala Baker",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"English, Sindarin","New Zealand, USA",Won 4 Oscars. Another 113 wins & 123 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.8,"1,545,049",tt0120737,movie,06 Aug 2002,"$314,000,000",New Line Cinema,N/A,True
"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Animation, Adventure, Comedy, Family, Fantasy","Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay by), Daniel Gerson (screenplay by), Bob Peterson (additional story material), David Silverman (additional story material), Joe Ranft (additional story material), Robert L. Baird (additional screenplay material), Rhett Reese (additional screenplay material), Jonathan Roberts (additional screenplay material)","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",English,USA,Won 1 Oscar. Another 13 wins & 38 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.0,"758,813",tt0198781,movie,19 Feb 2013,"$34,034,168",Buena Vista Distribution Compa,N/A,True
Blow,2001,R,06 Apr 2001,124 min,"Biography, Crime, Drama",Ted Demme,"Bruce Porter (book), David McKenna (screenplay), Nick Cassavetes (screenplay)","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",English,USA,3 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.6,"226,795",tt0221027,movie,11 Sep 2001,N/A,New Line Cinema,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
The Princess Diaries,2001,G,03 Aug 2001,111 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot (novel), Gina Wendkos (screenplay)","Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","English, Dutch, Italian","USA, UK",3 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.3,"118,411",tt0247638,movie,18 Dec 2001,"$107,785,435",Walt Disney Pictures,N/A,True
Not Another Teen Movie,2001,R,14 Dec 2001,89 min,Comedy,Joel Gallen,"Mike Bender, Adam Jay Epstein, Andrew Jacobson, Phil Beauman, Buddy Johnson","Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen",A sendup of all the teen movies that have accumulated in the past two decades.,English,USA,5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.7,"92,382",tt0277371,movie,30 Apr 2002,"$37,882,551",Columbia Pictures,N/A,True
Donnie Darko,2001,R,30 Jan 2002,113 min,"Drama, Sci-Fi, Thriller",Richard Kelly,Richard Kelly,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",English,USA,11 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.0,"708,275",tt0246578,movie,19 Mar 2002,N/A,Newmarket Film Group,N/A,True
Pearl Harbor,2001,PG-13,25 May 2001,183 min,"Action, Drama, History, Romance, War",Michael Bay,Randall Wallace,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,"English, Japanese, French",USA,Won 1 Oscar. Another 13 wins & 51 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.2,"297,580",tt0213149,movie,04 Dec 2001,"$197,761,540",Touchstone,N/A,True
A Beautiful Mind,2001,PG-13,04 Jan 2002,135 min,"Biography, Drama",Ron Howard,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",English,USA,Won 4 Oscars. Another 33 wins & 67 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,8.2,"788,397",tt0268978,movie,25 Jun 2002,N/A,Universal Pictures,N/A,True
