Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
[Rec] 2,2009,R,02 Oct 2009,85 min,"Adventure, Horror, Mystery, Thriller","Jaume Balagueró, Paco Plaza","Jaume Balagueró (screenplay), Manu Díaz (screenplay), Paco Plaza (screenplay), Amèlia Mora (story editor)","Jonathan D. Mellor, Óscar Zafra, Ariel Casas, Alejandro Casaseca","In order to ascertain the current situation inside, a supposed medical officer and a GEO team step into the quarantined and ill-fated apartment building.",Spanish,Spain,5 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.5,"65,321",tt1245112,movie,14 Jul 2009,"$27,024",Magnolia Pictures,N/A,True
The Maiden Heist,2009,PG-13,08 Jul 2010,90 min,"Comedy, Crime",Peter Hewitt,Michael LeSieur,"Christopher Walken, Joseph McKenna, Wynn Everett, Patricia B. Till",A comedy centered on three museum security guards who devise a plan to steal back the artworks to which they have become attached after they are transferred to another museum.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"14,854",tt1107860,movie,27 Oct 2009,"$481,378",Yari Film Group,N/A,True
American Virgin,2009,R,19 May 2010,88 min,Comedy,Clare Kilner,Jeff Seeman,"Jenna Dewan, Bo Burnham, Brianne Davis, Rob Schneider",A night of debauchery threatens a sexually abstinent student's college standing.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,"7,384",tt1318044,movie,10 Nov 2009,N/A,120db Films,N/A,True
Paper Man,2009,R,01 May 2014,110 min,"Comedy, Drama","Kieran Mulroney, Michele Mulroney","Michele Mulroney, Kieran Mulroney","Lisa Kudrow, Jeff Daniels, Ryan Reynolds, Emma Stone",A washed-up writer forms an unlikely friendship with a teenager from Long Island.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.6,"17,545",tt0437405,movie,N/A,N/A,N/A,N/A,True
Forget Me Not,2009,R,03 Aug 2011,103 min,"Horror, Romance, Thriller",Tyler Oliver,"Jamieson Stern, Tyler Oliver","Carly Schroeder, Cody Linley, Micah Alberti, Brie Gabrielle",Recent high school graduates become prey of the vengeful spirit of an innocent girl they wronged long ago.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"5,519",tt1147684,movie,24 May 2011,N/A,Phase 4 Films,N/A,True
The Private Lives of Pippa Lee,2009,R,10 Jul 2009,98 min,"Comedy, Drama, Romance",Rebecca Miller,"Rebecca Miller (screenplay), Rebecca Miller (book)","Robin Wright, Mike Binder, Alan Arkin, Winona Ryder","After her much older husband forces a move to a suburban retirement community, Pippa Lee engages in a period of reflection and finds herself heading toward a quiet nervous breakdown.",English,USA,1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"12,439",tt1134629,movie,02 Mar 2010,N/A,Screen Media Films,N/A,True
Cherrybomb,2009,Not Rated,23 Apr 2010,86 min,"Drama, Thriller","Lisa Barros D'Sa, Glenn Leyburn",Daragh Carville,"Rupert Grint, Robert Sheehan, James Nesbitt, Niamh Quinn","Three teenagers go on a wild weekend of drink, drugs, shop-lifting and stealing cars that quickly spins beyond their control.",English,UK,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"6,777",tt1248971,movie,N/A,N/A,Little Film Company,N/A,True
Night of the Demons,2009,R,26 May 2011,93 min,"Action, Comedy, Horror, Thriller",Adam Gierasch,"Jace Anderson (screenplay), Adam Gierasch (screenplay), Joe Augustyn (earlier screenplay)","Tatyana Kanavka, Michael Arata, Shannon Elizabeth, Linnea Quigley","A group of kids go to a Halloween party, only to have to face down a group of demons.","English, Russian",USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,4.7,"6,747",tt1268809,movie,19 Oct 2010,N/A,Entertainment One,N/A,True
Frequently Asked Questions About Time Travel,2009,PG-13,24 Apr 2009,83 min,"Comedy, Sci-Fi",Gareth Carrivick,Jamie Mathieson,"Chris O'Dowd, Marc Wootton, Dean Lennox Kelly, Anna Faris","While drinking at their local pub, three social outcasts attempt to navigate a time-travel conundrum.",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,7.1,"30,891",tt0910554,movie,N/A,N/A,Picturehouse,N/A,True
The Vicious Kind,2009,R,17 Jan 2009,92 min,"Comedy, Drama",Lee Toland Krieger,Lee Toland Krieger (screenplay),"Adam Scott, Brittany Snow, Alex Frost, J.K. Simmons","A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming infatuated with her in the process.",English,USA,4 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.0,"7,250",tt1183921,movie,23 Feb 2010,N/A,72nd Street Productions,N/A,True
