,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0016618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0016618,Robert C. Albertell
1192470,0,0,0,0,6,6,6,6,6,6,6,13,15,15,15,15,15,17,18,0,1192470,Alessandro Aronadio
0027423,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0027423,Scott E. Anderson
0481702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0481702,Kai Keung Lai
0088692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0088692,Bruce A. Block
0365185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0365185,Paula Case
0035744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0035744,James Armstrong
0039244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0039244,Marc Ashton
0297934,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0297934,Kenta Fukasaku
0169032,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0169032,Caroline Sascha Cogez
0123785,0,0,0,0,1,1,2,2,2,2,5,6,7,7,8,8,8,9,9,0,0123785,Ben Burt
5000903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5000903,Philip Banks
1329724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1329724,Tommy Harper
0034714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0034714,Patrick Arias
0003482,0,0,0,0,0,0,0,0,0,3,4,4,5,7,12,13,14,14,14,0,0003482,Nash Edgerton
3793548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793548,Rocco Marra
0278181,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0278181,Will Finn
0396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0396000,Craig Hosking
0151320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0151320,Batou Chandler
0141792,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,0,0141792,Mark Carter
0021772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0021772,Mairzee Almas
0389083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0389083,Sam Hoffman
0140011,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0140011,Bill Carraro
0377696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0377696,Eric Henriquez
0080248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0080248,Santhana Bharathi
1045562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045562,Renee Hill-Sweet
0090168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0090168,Simon Board
0052597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0052597,Eric Banz
1664004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664004,Brent Geisler
0308799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0308799,Dean Garvin
0221478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0221478,Sara Desmond
0387976,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0387976,Martin Hodara
0006500,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0006500,Warren Cronin
0024490,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0024490,Mark Ambury
0003920,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0003920,Mike Ellis
0006593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0006593,Diane Cornell
0002184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,0,0002184,Vic Armstrong
0216625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0216625,Tyler Delben
0162274,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0162274,Santo Cilauro
0053128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0053128,Ani Baravyan
0421716,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0421716,Tomas Villum Jensen
0862911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0862911,Greg Tiernan
1409900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409900,Kim Barr
0076353,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0076353,Paul F. Bernard
0012541,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0012541,Nikkhil Advani
0089188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0089188,Julie A. Bloom
