,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0124930,0,0,0,0,0,0,2,2,3,5,5,7,8,8,8,9,10,10,11,0,0124930,Gerard Butler
2627085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2627085,Wei-Ning Hsu
0225483,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,9,10,0,0225483, Kate Dickie
0608405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0608405, Bill Moseley
0038355,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,4,5,0,0038355, Tadanobu Asano
0654110,0,0,0,1,1,3,8,11,13,13,13,14,14,17,18,20,21,23,23,0,0654110,Clive Owen
0001702,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0001702,Roy Scheider
0659363,0,2,3,3,3,3,3,3,4,6,6,7,8,9,9,11,13,14,14,0,0659363,Hayden Panettiere
0500359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0500359,Laura Leighton
0156955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0156955,David Chiang
0731783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0731783,Dale Robertson
0043199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0043199,Avinash
0209404,0,0,0,0,0,0,3,4,4,4,4,4,4,5,5,5,5,6,8,0,0209404, Rodrigo De la Serna
0635667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0635667,Mabel Normand
2140860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,2140860,Maika Monroe
0789864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0789864, Martin Shaw
0660984,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0660984, Rawiri Paratene
1082266,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1082266,Everlyn Sampi
0000174,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,0,0000174,Val Kilmer
2201753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201753, Yui Aragaki
0879284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0879284, Theodora Tzimou
0343472,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0343472,Paul Gross
0504267,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0504267, Jalil Lespert
2225369,0,0,0,0,0,0,0,0,0,0,0,1,5,6,22,30,36,39,43,0,2225369, Jennifer Lawrence
0001748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0001748, Kurtwood Smith
1535523,0,0,0,0,0,0,0,0,2,2,2,3,9,9,10,10,10,10,11,0,1535523,Jaden Smith
0594898,0,0,0,0,0,0,1,1,1,1,5,8,8,8,8,8,13,15,17,0,0594898," ""MoNique"""
5835038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5835038, Elias Schwarz
0001166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0001166,James Duval
