,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0691084,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,8,0,0691084,Bill Pope
0558822,0,2,6,6,6,6,8,8,8,8,8,9,9,9,10,10,11,11,11,0,0558822,John Mathieson
0508732,0,0,2,2,2,2,2,2,2,2,2,9,17,18,18,18,18,18,19,0,0508732,Matthew Libatique
0003542,5,5,5,5,6,7,8,8,8,8,8,8,8,8,9,9,9,9,9,0,0003542,Philippe Rousselot
0782900,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0782900,Andrzej Sekula
0362165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0362165,Tim Maurice-Jones
0005714,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,0,0005714,Tak Fujimoto
0002892,1,1,1,2,2,2,2,2,2,4,6,11,18,21,21,21,21,21,21,0,0002892,Wally Pfister
0221042,2,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0221042,Caleb Deschanel
0001799,4,4,4,4,4,8,8,8,8,8,8,8,8,9,9,9,10,11,12,0,0001799,John Toll
0410419,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0410419,Mark Irwin
0005759,1,1,2,2,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,0,0005759,Lajos Koltai
0121281,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,0,0121281,Don Burgess
0785381,3,3,3,3,5,10,11,12,12,13,13,17,18,18,18,18,18,18,18,0,0785381,Eduardo Serra
0362046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0362046,David R. Hardberger
0596360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0596360,Amir Mokri
0005767,0,1,1,2,6,6,7,7,7,7,7,7,8,8,9,9,17,25,27,0,0005767,Edward Lachman
0005909,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0005909,Brian Tufano
0005683,0,0,0,1,1,1,1,1,1,1,3,3,3,3,5,5,6,7,12,0,0005683,Roger Deakins
0695536,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0695536,Roger Pratt
2002649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2002649,David Franco
0561053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0561053,Shawn Maurer
0453808,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0453808,Jeffrey L. Kimball
0131700,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,7,9,0,0131700,Paul Cameron
0236313,0,0,0,3,4,4,7,9,9,9,10,10,10,10,11,11,12,16,17,0,0236313,Christopher Doyle
0490817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0490817,Paul Laufer
0572123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0572123,Robert McLachlan
0451787,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,13,17,17,19,0,0451787,Darius Khondji
0005911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005911,Jost Vacano
0001752,3,6,14,15,17,17,17,17,18,18,20,22,23,24,27,28,28,31,31,0,0001752,Steven Soderbergh
0005897,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0005897,David Tattersall
0666702,0,1,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,0,0666702,Peter Pau
0005678,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0005678,Dean Cundey
0831114,0,0,0,0,0,0,0,0,1,2,2,2,2,4,5,5,5,5,6,0,0831114,Rogier Stoffers
0250867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0250867,David Eggby
0945851,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,0,0945851,Katsumi Yanagijima
0005810,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,0,0005810,Robby Müller
0638365,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,8,0,0638365,Giles Nuttgens
0000841,4,4,4,6,13,13,13,16,16,16,16,16,16,16,16,17,17,17,17,0,0000841,Michael Ballhaus
0568974,1,1,1,1,1,1,1,1,4,7,9,9,10,11,14,14,15,20,25,0,0568974,Seamus McGarvey
0005687,0,0,1,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,0,0005687,Peter Deming
0005856,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0005856,Theo van de Sande
0005868,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,25,26,0,0005868,John Seale
0004088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0004088,László Kovács
0079001,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0079001,Thom Best
1880996,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,0,1880996,Eduard Grau
0006509,0,0,0,0,0,1,2,4,8,9,9,10,11,12,13,13,13,18,26,0,0006509,Rodrigo Prieto
0416824,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0416824,Peter James
0725072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0725072,Anthony B. Richmond
0026857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0026857,Jamie Anderson
0013889,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0013889,Lloyd Ahern II
0769656,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0769656,Roberto Schaefer
0005798,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0005798,Pierre Mignot
0000939,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0000939,Adrian Biddle
0046484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0046484,Christopher Baffa
0005726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,0,0005726,Jack N. Green
0005664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005664,Stephen H. Burum
0005647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005647,Andrzej Bartkowiak
0457886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0457886,Alar Kivilo
0002336,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0002336,Declan Quinn
0897794,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0897794,Reynaldo Villalobos
2028938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,2028938,Matthew J. Lloyd
0822975,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0822975,Oliver Stapleton
0005929,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0005929,Oliver Wood
0143780,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0143780,Alan Caso
0801005,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,6,0,0801005,Geoffrey Simpson
0775262,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0775262,Nancy Schreiber
0002926,0,0,0,0,0,0,0,0,1,1,1,10,17,17,17,17,17,17,17,0,0002926,Enrique Chediak
0338577,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0338577,Robbie Greenberg
0405677,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0405677,Antoine Héberlé
0091927,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0091927,Lou Bogue
0337313,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0337313,Richard Greatrex
0642672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0642672,Michael D. O'Shea
0864276,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0864276,S. Tirru
0005883,6,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,0,0005883,Dante Spinotti
0534215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0534215,Glen MacPherson
0005801,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0005801,Douglas Milsome
0767647,0,0,0,0,0,3,6,6,8,11,12,12,13,13,13,13,13,13,13,0,0767647,Harris Savides
0548718,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0548718,Barry Markowitz
0558917,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0558917,Clark Mathis
0355596,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,0,0355596,Geoffrey Hall
0005744,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,0,0005744,Slawomir Idziak
0443706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0443706,Stephen Kazmierski
0005659,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0005659,Ralf D. Bode
0278475,0,0,0,0,1,1,1,1,1,1,5,10,10,10,11,11,11,11,11,0,0278475,Mauro Fiore
