,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0668845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0668845,Maxine Peake
0154164,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,0,0154164, Soumitra Chatterjee
0776424,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0776424, Barbara Schulz
0101508,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0101508, Steve Box]
0741580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0741580,Michael Rose
0163770,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0163770, Chris Clark
0000369,4,4,4,4,4,4,9,14,16,16,16,16,16,18,18,18,18,18,19,0,0000369, Matt Dillon
2812610,0,0,0,2,3,3,3,3,3,4,5,7,7,7,7,7,7,7,7,0,2812610,Yong Hou
0146917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0146917,Robert Cavanah
2230865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2230865, Ashley Greene
0068338,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,4,4,5,5,0,0068338,Kristen Bell
0175305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0175305,Kevin Connolly
0002546,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0002546, Mena Suvari
0518718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0518718,Jeremy London
1289400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289400, Yuting Yang]
0311476,2,2,3,5,5,6,6,6,8,9,9,9,9,9,9,9,11,11,11,0,0311476, Martina Gedeck
2463487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463487, Ramya Nambeeshan
0926434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0926434,Ian Whittaker
0329812,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,0,0329812, Aleksey Gorbunov
0156559,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0156559,Roy Cheung
6293990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,6293990, Bambalito Lacap
0005502,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0005502, Michelle Trachtenberg
2656786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656786,Jason Cermak
0000174,0,0,0,0,2,3,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0000174, Val Kilmer
0244048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0244048, Russell Durham Comegys
0000507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0000507, Rob Lowe
0000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000144,Cary Elwes
0243355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0243355, Albert Dupontel
1899390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899390,Khan Chittenden
0260549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0260549, Janine Eser
2775995,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2775995, Ajmal
0362766,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,8,12,13,0,0362766,Tom Hardy
0004786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0004786,Mike Burns]
0368002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0368002, William Haze
7188697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188697, Emma Diaz
3147751,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,5,0,3147751, LaKeith Stanfield
1444606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1444606, Michael Segal
0111969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0111969, Dustin Brooks
2482391,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,2482391,Nora Arnezeder
0693625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0693625,Julien Poulin
3601900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601900, Jordan Thomas
0154274,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0154274, Mahima Chaudhry
0023003,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0023003, John Alton
0961121,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4,4,4,4,4,0,0961121, Gabriella Hámori
0027872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0027872,Kim Anderzon
0000656,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0000656, Madeleine Stowe
0005098,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005098,Chris Klein
0001166,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0001166, James Duval
0130860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0130860,Mhairi Calvey
1957822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957822,David Asavanond
1328152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328152, Shriya Saran]
0348888,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0348888,Aleksey Guskov
0905228,2,2,2,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,0,0905228,Katharina Wackernagel
1093951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1093951,Aaron Taylor-Johnson
0001015,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,9,9,0,0001015,Robert Carlyle
4006608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4006608,Chloe Pirrie
0413168,1,2,2,2,2,3,3,4,4,4,5,5,6,9,12,12,12,12,16,0,0413168, Hugh Jackman
0144887,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0144887, Virgílio Castelo
0654110,0,0,0,1,1,4,8,8,9,9,9,9,9,9,10,11,11,11,11,0,0654110,Clive Owen
0015459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0015459,Nagarjuna Akkineni
0000215,19,19,20,25,26,27,31,33,34,34,35,36,38,39,39,40,41,44,45,0,0000215,Susan Sarandon
6222008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6222008,Ivo Pietzcker
1572739,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1572739, Meera Krishna
1357477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1357477,Randy Wayne
3106406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3106406, Matt Sanders
0303768,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,0,0303768, Brian Keith Gamble
0842770,5,5,6,6,6,7,8,8,9,12,12,14,19,19,22,27,31,32,34,0,0842770,Tilda Swinton
0124930,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,4,0,0124930,Gerard Butler
0000160,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,5,6,7,0,0000160,Ethan Hawke
4447552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447552,Scott Brown
0561210,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0561210,Lúcio Mauro Filho
0005110,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0005110, Ashton Kutcher
0407296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0407296, IHARA
0101647,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0101647,Joe Cottrell Boyce
1640351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640351,Kristina Klebe
0954655,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,0,0954655,David Zellner
0000106,5,6,10,10,10,13,13,13,13,13,16,20,20,20,20,21,21,21,22,0,0000106, Drew Barrymore
2756114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756114, Hannah Cheesman
0000185,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,0,0000185,Dolph Lundgren
0006763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0006763, Jackie Shroff
2477527,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,0,2477527, Ayça Damgaci
0000105,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0000105,Adrienne Barbeau
1472197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472197,Manish Chaudhary
2349892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,2349892, Alessandro Grande]
0004695,0,0,1,1,2,2,4,6,6,6,6,6,8,8,8,8,8,8,8,0,0004695,Jessica Alba
2032510,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2032510, Griffin Hood
2310589,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,2310589, Kentucker Audley
0002010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0002010,Christian Clavier
0457410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0457410,Ravi Kishan
4742534,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,4742534,Mark Fox
0000246,2,5,5,6,6,6,7,8,8,8,8,8,8,9,11,11,11,11,11,0,0000246,Bruce Willis
0001264,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,0,0001264,Sarah Michelle Gellar
0001036,5,5,5,5,6,7,7,7,7,10,10,10,11,12,12,15,16,18,18,0,0001036, Geraldine Chaplin
4109045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4109045,Luke Ganalon
0727165,0,0,0,0,0,0,0,0,4,7,7,7,7,7,7,7,7,7,7,0,0727165,Sam Riley
0726257,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,8,8,8,8,0,0726257, Katja Riemann
0000620,1,1,1,1,1,1,2,3,3,19,29,31,31,31,32,32,32,32,32,0,0000620, Mickey Rourke
2602328,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2602328,Bel Deliá
2680798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680798, Oka Antara
0931227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0931227,Malinda Williams
0001454,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0001454,Martin Lawrence
0005188,0,0,1,1,1,1,1,1,2,4,4,4,6,6,6,6,6,6,6,0,0005188,James Marsden
4718369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4718369,Harish Verma
0000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000143,Erika Eleniak
0537865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0537865,Valérie Mairesse
2554352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554352, T.J. Miller
