,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0062328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,0,0062328,Alan Baumgarten
0768817,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,6,13,18,18,0,0768817,Pietro Scalia
2677932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677932,Chris Cartagena
0704950,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,9,9,9,9,0,0704950,Jay Rabinowitz
0873531,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0873531,Michael Tronick
0546064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0546064,Andrew Marcus
1154184,0,0,1,1,1,1,1,1,1,1,1,4,13,13,13,13,13,14,14,0,1154184,Jon Harris
0281311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0281311,Seth Flaum
0233827,0,0,1,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,0,0233827,Dody Dorn
0404528,0,2,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,0,0404528,Joe Hutshing
0527261,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0527261,Patrick Lussier
0702760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0702760,Massimo Quaglia
0772831,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0772831,Arthur Schmidt
0862664,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,14,14,14,14,0,0862664,Dylan Tichenor
0325549,0,0,0,1,1,1,1,1,1,1,1,1,1,2,4,6,11,11,11,0,0325549,William Goldenberg
0167613,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,0,0167613,Anne V. Coates
0001053,2,2,2,3,4,4,4,4,4,6,11,18,22,22,29,40,51,56,59,0,0001053,Ethan Coen
0597812,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0597812,Andrew Mondshein
0447425,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0447425,Steven Kemper
0434922,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0434922,Sheldon Kahn
5436411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436411,William Chang
0240609,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0240609,Robert Duffy
0167917,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0167917,James Coblentz
0386227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0386227,Masahiro Hirakubo
0325358,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0325358,Mark Goldblatt
0000972,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0000972,Tinto Brass
0592537,0,1,1,1,1,1,1,1,3,3,3,3,5,6,6,8,17,25,25,0,0592537,Stephen Mirrione
0633677,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0633677,Thom Noble
0820163,0,0,2,3,3,3,3,3,4,4,4,4,4,7,14,14,15,15,16,0,0820163,Tim Squyres
0001967,1,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,0,0001967,Peter Boyle
0787603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0787603,Rick Shaine
0008345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0008345,Hirohide Abe
0350726,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0350726,François Gédigier
0751421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0751421,Robin Russell
0338642,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0338642,Christopher Greenbury
0181650,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,8,10,11,0,0181650,Hank Corwin
0007192,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0007192,Peter S. Elliot
0041644,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0041644,Mick Audsley
0324122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0324122,Jeff Gourson
0290358,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0290358,Richard Francis-Bruce
0916502,3,3,3,3,3,3,3,3,3,3,3,3,6,11,11,11,11,11,11,0,0916502,Billy Weber
0837977,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0837977,Brett Sullivan
1029112,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,0,1029112,Luke Doolan
0136057,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0136057,Luis Carballar
0370742,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0370742,Greg Hayden
0079879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0079879,Kent Beyda
0003151,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0,0003151,Melissa Kent
0500371,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0,0500371,Robert Leighton
0033504,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0033504,Michel Arcand
0674179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0674179,Gregory Perler
0535718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0535718,Elena Maganini
0185088,0,0,0,0,0,2,4,4,4,4,5,5,5,5,6,7,11,11,11,0,0185088,Joel Cox
0386532,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0386532,Paul Hirsch
0119322,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0119322,Conrad Buff IV
0742430,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0742430,David Rosenbloom
0856249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0856249,Peter Teschner
0795443,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0795443,Terilyn A. Shropshire
0743586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0743586,Kevin D. Ross
0222203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0222203,Peter Devaney Flanagan
0132696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0132696,Malcolm Campbell
0156816,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0156816,Richard Chew
0316626,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0316626,Antony Gibbs
0010574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0010574,Peter R. Adam
0031697,2,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,0,0031697,Tariq Anwar
0003483,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0003483,Sarah Flack
0672562,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0672562,Chris Peppe
0277722,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,0,0277722,David Finfer
1414749,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1414749,Chris Wyatt
0185677,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0185677,Ian Crafford
0759183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0759183,Renu Saluja
0020441,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0020441,Dede Allen
0743293,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0743293,Caroline Ross
0652020,0,0,0,0,0,0,2,2,2,3,4,4,6,6,6,6,6,6,6,0,0652020,Valdís Óskarsdóttir
0186602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0186602,Garth Craven
0285701,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,0,0285701,Jeffrey Ford
0579673,0,0,0,0,0,1,2,2,2,3,5,12,12,12,12,12,12,12,12,0,0579673,Sally Menke
0497248,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0497248,Eun Soo Lee
0003527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0003527,Ned Bastille
0758627,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0758627,Ken Sallows
0564415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0564415,Anne McCabe
0737620,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0737620,Casey O. Rohrs
0144203,0,0,0,0,0,0,0,0,0,1,2,2,2,2,6,7,7,7,7,0,0144203,Jay Cassidy
