,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0006969,0,0,0,0,0,1,1,2,2,4,5,5,5,5,6,7,17,22,24,0,0006969,Elizabeth Banks
0291905,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0291905,David Franzoni
0782968,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0782968,Hubert Selby Jr.
0397322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0397322,Gregory Allen Howard
0254735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0254735,Bret Easton Ellis
0005363,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,0,0005363,Guy Ritchie
0571706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0571706,Vince McKewin
0634240,0,0,1,3,4,4,4,4,4,5,7,11,15,16,18,20,25,25,40,0,0634240,Christopher Nolan
0734441,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,0,0734441,Robert Rodat
0001081,2,3,9,10,11,11,11,11,11,11,11,11,14,16,16,16,16,16,17,0,0001081,Cameron Crowe
0932078,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,0,0932078,Kevin Williamson
0868153,4,4,6,7,8,8,8,8,9,9,9,9,9,9,12,13,13,13,13,0,0868153,Giuseppe Tornatore
0115310,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,0,0115310,William Broyles Jr.
0796117,1,14,15,16,19,19,20,21,21,21,21,21,21,21,21,21,22,25,27,0,0796117,M. Night Shyamalan
0258059,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0258059,Thom Enriquez
0920859,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0920859,Gina Wendkos
0335666,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,0,0335666,Susannah Grant
0355822,0,1,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,0,0355822,Lee Hall
0930261,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,8,8,9,0,0930261,Chris Williams
0312367,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0312367,Bruce Geller
0680846,0,0,0,0,0,0,0,0,2,2,3,3,3,3,4,4,4,4,4,0,0680846,Todd Phillips
0939182,5,7,12,13,14,15,22,26,27,27,27,27,27,27,31,35,36,36,37,0,0939182,Kar-Wai Wong
0698873,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0698873,Mark Protosevich
0604688,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0604688,Glen Morgan
0388076,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0388076,John Hodge
0860155,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0860155,Gary Scott Thompson
0000972,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0000972,Tinto Brass
0601881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0601881,Simon Moore
0455207,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,6,6,0,0455207,Robert King
0238893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0238893,Du Lu Wang
0326092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0326092,Josh Goldsmith
0163988,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0163988,Clark Gregg
0942354,0,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0942354,Doug Wright
0923646,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0923646,Jim Wheat
0001885,3,3,7,7,8,9,9,10,10,10,12,13,17,30,30,35,37,37,37,0,0001885,Lars von Trier
0541720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0541720,Corey Mandell
0268380,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0268380,Peter Farrelly
0177228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0177228,Peter Cook
