,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0003911,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,0,0003911,Brian Tyler
0314713,0,1,3,3,4,4,4,4,4,4,6,6,6,7,7,7,7,7,7,0,0314713,Lisa Gerrard
0000384,0,1,1,1,1,2,3,3,3,4,5,5,5,5,5,5,6,7,7,0,0000384,Danny Elfman
0543739,0,0,0,0,0,0,0,1,2,2,2,4,5,6,6,6,6,6,6,0,0543739,Clint Mansell
0704909,0,0,0,0,0,1,1,1,1,2,3,3,3,4,4,4,4,4,4,0,0704909,Trevor Rabin
0129816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0129816,John Cale
0652663,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,0,0652663,John Murphy
0002201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0002201,John Debney
0432382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0432382,David Julyan
0002354,2,4,5,5,5,6,6,6,6,6,7,7,7,9,9,9,9,10,13,0,0002354,John Williams
0933896,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,0,0933896,Nancy Wilson
0001937,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0001937,Marco Beltrami
0001553,7,8,8,9,9,10,11,11,12,12,12,12,12,12,17,17,24,38,38,0,0001553,Ennio Morricone
0006293,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,0,0006293,Alan Silvestri
0006133,1,1,1,1,1,2,2,2,2,5,7,7,7,7,8,9,9,9,9,0,0006133,James Newton Howard
0394924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0394924,Trevor Horn
0002353,1,1,1,1,1,2,2,3,3,4,4,4,4,6,8,10,11,12,13,0,0002353,Tom Newman
0006339,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,6,6,0,0006339,Stephen Warbeck
0122439,0,0,1,2,2,2,2,2,2,2,4,9,9,9,17,20,20,20,20,0,0122439,T Bone Burnett
0006235,1,2,3,3,3,3,3,3,3,3,3,4,4,5,5,5,6,7,7,0,0006235,Rachel Portman
0006055,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0006055,Randy Edelman
0065100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0065100,Christophe Beck
0001877,2,3,4,5,7,7,7,8,8,8,9,11,11,11,17,19,20,20,24,0,0001877,Hans Zimmer
0801121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0801121,Michael Simpson
0301704,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0301704,Michael Galasso
0006290,1,1,2,4,6,10,11,11,11,11,11,11,11,13,13,16,17,18,19,0,0006290,Howard Shore
0000823,2,2,2,3,3,3,3,3,3,4,4,4,5,5,6,8,9,9,9,0,0000823,Angelo Badalamenti
0000025,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,0,0000025,Jerry Goldsmith
0006043,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,0,0006043,Pino Donaggio
0553498,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,8,10,0,0553498,Cliff Martinez
