,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0006969,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,5,7,7,0,0006969,Elizabeth Banks
0291905,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0291905,David Franzoni
0972213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0972213,Audrey Geisel
0054449,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0054449,Ben Barenholtz
0000988,0,0,1,1,2,3,3,3,3,4,4,5,5,5,6,6,6,6,6,0,0000988,Jerry Bruckheimer
0155942,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0155942,Jeffrey Chernov
0003544,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,0,0003544,Christopher Ball
0196857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0196857,Michael Dahan
0117290,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0117290,Ian Bryce
0076555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0076555,Carlo Bernasconi
0053388,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0053388,Gary Barber
0089118,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0089118,Baker Bloodworth
0000362,3,3,3,3,3,3,3,3,5,5,5,6,8,8,8,8,8,8,9,0,0000362,Danny DeVito
0104445,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0104445,Charles Brand
0079677,1,1,1,1,1,1,3,3,4,4,5,5,5,7,10,10,10,10,11,0,0079677,Tim Bevan
0272075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0272075,Prudence Fenton
0088971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0088971,Alan C. Blomquist
0138502,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,6,0,0138502,Don Carmody
0008953,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0008953,Marc Abraham
0151835,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,0,0151835,Terence Chang
0325175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0325175,Daniel Goldberg
0070454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0070454,Chris Bender
0531602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0531602,Andrew Macdonald
0081046,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0081046,Laura Bickford
0132709,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0132709,Martin Campbell
