,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0310954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0310954,Alexander H. Gayner
0945369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0945369,Yudai Yamaguchi
0221478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0221478,Sara Desmond
0040348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0040348,Scott J. Ateah
0076997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0076997,Andrew Bernstein
0101369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0101369,Michael J. Bowman
0004348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0004348,Craig Haagensen
0286790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0286790,Eric Forsberg
0176929,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0176929,Brian W. Cook
4627575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4627575,Thoromar Jonsson
0346054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0346054,Louis Guerra
0205199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0205199,Mitch Davis
0452488,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0452488,Dennis Kiely
0362621,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0362621,Eddy Hardy
0309246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0309246,Walter Gasparovic
0003822,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0003822,Hubie Kerns Jr.
0587508,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0587508,Louis Shaw Milito
0568809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0568809,Hamish Gough
0023296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0023296,Matias Alvarez
0806817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0806817,Jonas Smensgard
1290743,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1290743,Matthew Baker
0195318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0195318,Lynn K. D'Angona
0084619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0084619,Didier Bivel
2517268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517268,Natalie Bennett
