,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
1794688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1794688, Darin Brooks
0153779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0153779, Jeff Chase
0752407,0,0,0,0,0,0,0,0,6,11,12,12,13,13,13,14,16,16,16,0,0752407, Amy Ryan
1107001,0,0,0,0,0,0,0,0,0,0,4,10,11,13,13,13,14,15,17,0,1107001, Anthony Mackie
0001833,4,5,6,9,13,13,14,14,16,16,16,16,16,17,17,18,18,19,20,0,0001833,Emily Watson
1299510,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,0,1299510," ""Genelia DSouza"""
0001264,2,3,6,6,9,10,11,11,11,11,11,11,11,12,12,12,12,12,12,0,0001264,Sarah Michelle Gellar
0732497,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,6,0,0732497,Craig Robinson
0668139,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,0,0668139,Sara Paxton
1195175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195175,Jai Koutrae
6098052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6098052,Naomi Velissariou
1975050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1975050, Tiera Skovbye
0005512,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,5,5,5,0,0005512, Mike Tyson
0002901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0002901, Muse Watson
2842005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2842005,Hero Fiennes Tiffin
1569276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,1569276,Chadwick Boseman
3732165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3732165,Ava Acres
5385972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5385972, Jack Fulton
0203567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0203567, Alexandra Davies
0211565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0211565,Christian De Sica
0245112,2,2,2,2,2,2,4,4,4,4,4,4,4,7,9,9,10,11,11,0,0245112, Clea DuVall
0716851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0716851,Waheeda Rehman
2463487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2463487, Ramya Nambeeshan
0125540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0125540,Margherita Buy
1329780,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1329780, Jamie Johnston
1450183,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1450183, Dustin Ingram
1526352,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,0,1526352,Jaimie Alexander
0488953,0,0,0,0,0,0,0,1,2,2,2,2,2,2,4,5,14,22,23,0,0488953,Brie Larson
