,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0122216,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0122216,Abbas
0000215,8,8,8,9,10,10,10,10,11,13,16,18,18,18,19,19,19,21,27,0,0000215,Susan Sarandon
1086384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1086384,Lou Taylor Pucci
0154274,0,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0154274,Mahima Chaudhry
0000665,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0000665,D.B. Sweeney
0654863,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,0,0654863,Rasim Öztekin
0842251,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0842251,Gary Sweet
0501210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0501210,Kris Lemche
0438488,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,5,7,7,7,0,0438488,Pankaj Kapur
0123958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0123958,Charles Busch
0258784,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0258784,Yilmaz Erdogan
0000212,14,14,15,15,15,16,16,17,17,17,18,18,18,18,18,18,18,20,20,0,0000212,Meg Ryan
0131647,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0131647,Kirk Cameron
0000194,1,2,3,5,6,7,9,10,10,10,12,16,17,18,19,31,40,43,44,0,0000194,Julianne Moore
0443373,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,0,0443373,Paul Kaye
0507073,0,0,0,0,0,0,2,2,2,2,2,2,3,3,7,8,11,12,12,0,0507073,Damian Lewis
1954240,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,0,1954240,Teresa Palmer
0836220,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0836220,Malcolm Stumpf
1113550,0,0,0,0,0,0,0,4,9,10,10,11,11,12,16,19,19,21,21,0,1113550,Abigail Breslin
6320183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6320183,Kumaar Aadarsh
0471406,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0471406,Johannes Krisch
1759942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759942,Rebekah Brandes
0005031,0,1,1,1,1,1,3,9,9,10,10,10,10,10,10,10,10,13,17,0,0005031,Felicity Huffman
0000378,7,7,7,7,7,7,8,8,9,11,11,11,13,13,13,17,17,17,18,0,0000378,Minnie Driver
1028648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1028648,Clara Choveaux
0001092,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0001092,Mark Dacascos
0788218,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0788218,Michael Shanks
1421465,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,0,1421465,Priyamani
1986633,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1986633,Frank Sweet
0001542,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,0,0001542,Jay Mohr
0147147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,0,0147147,Henry Cavill
0004294,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0004294,Nadia Bjorlin
0001764,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0001764,John Stamos
0000639,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,0,0000639,Ally Sheedy
0001517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0001517,Catherine McCormack
0191412,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,0,0191412,Rory Culkin
0026364,0,0,0,0,0,2,2,5,5,5,5,5,5,5,5,5,5,7,9,0,0026364,Anthony Anderson
0402730,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0402730,Bill Hunter
0223518,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,0,0223518,Caroline Dhavernas
0469103,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,0,0469103,Jeroen Krabbé
0432425,0,0,0,1,1,1,1,2,2,3,3,3,4,5,5,6,6,6,6,0,0432425,Jun Hu
0786022,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0786022,Roshan Seth
0015459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0015459,Nagarjuna Akkineni
1693309,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1693309,Christian Byers
0121519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0121519,Zlatko Buric
0905311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0905311,Justine Waddell
1157048,0,0,0,0,0,0,0,0,1,1,1,3,6,6,6,6,6,7,7,0,1157048,Zachary Levi
0682922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0682922,Angela Pietropinto
0451600,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,6,7,7,10,0,0451600,Anupam Kher
0726223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0726223,Richard Riehle
1024101,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1024101,Priyanshu Chatterjee
0001696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0001696,Julian Sands
0322407,2,2,2,2,3,5,5,5,5,5,7,8,8,11,11,18,20,20,20,0,0322407,Brendan Gleeson
0014773,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0014773,Holly Aird
0005171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0005171,Angus Macfadyen
0161075,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,0,0161075,Babs Chula
0043662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0043662,Charlotte Ayanna
0700856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0700856,James Purefoy
0372176,0,0,0,0,1,1,1,1,4,4,4,4,5,6,7,8,8,10,12,0,0372176,Lena Headey
0969428,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,0,0969428,Tusshar Kapoor
0124930,0,0,0,0,0,0,2,2,3,5,5,7,8,8,8,9,10,10,11,0,0124930,Gerard Butler
0005054,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005054,Gladise Jiminez
0000618,4,5,5,6,6,7,9,9,10,10,10,10,12,12,12,12,12,12,12,0,0000618,Isabella Rossellini
0244151,1,1,1,1,1,1,2,4,4,4,4,5,5,5,5,5,5,5,5,0,0244151,Romain Duris
0447695,0,0,0,0,0,1,1,1,1,2,16,32,32,32,32,37,39,39,43,0,0447695,Anna Kendrick
0005522,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,4,5,0,0005522,Mario Van Peebles
0107748,0,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0107748,Spencer Breslin
1058940,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,10,10,10,10,0,1058940,Scoot McNairy
0000706,1,4,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,0,0000706,Michelle Yeoh
0598890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0598890,Irene Montalà
0407067,3,4,4,4,4,5,6,6,6,6,6,6,7,8,10,13,14,15,15,0,0407067,Álex de la Iglesia
1204305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,6,0,1204305,Jodi Sta. Maria
0563826,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0563826,Cory McAbee
0254712,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,5,5,0,0254712,Aunjanue Ellis
0406975,0,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,6,6,6,0,0406975,Rhys Ifans
0215281,0,0,0,0,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,0,0215281,Thomas Dekker
0141931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0141931,Sarah Carter
0444223,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0444223,Arielle Kebbel
0005300,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005300,Allen Payne
0881802,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,4,4,4,4,0,0881802,Alejandro Urdapilleta
0661651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0661651,Jeffrey Vincent Parise
0249291,0,0,0,1,1,1,1,1,1,1,2,3,3,4,4,6,7,25,28,0,0249291,Joel Edgerton
0004782,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0004782,Kimberly J. Brown
0675409,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,0,0675409,Mikael Persbrandt
0501837,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,0501837,Vanessa Lengies
2718512,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,6,7,7,0,2718512,Nicole Beharie
0000460,7,8,8,8,9,9,9,9,9,9,10,11,15,18,19,20,20,20,20,0,0000460,Jeremy Irons
0122653,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,0,0122653,Edward Burns
0000156,11,11,11,11,11,12,14,14,14,14,14,14,14,14,15,19,21,21,22,0,0000156,Jeff Goldblum
0312064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0312064,Anna Geislerová
0591703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0591703,Kristin Minter
0226820,0,0,0,0,2,3,4,4,4,6,6,6,6,6,6,7,7,8,8,0,0226820,Stephen Dillane
0272401,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,6,7,8,0,0272401,Craig Ferguson
0574534,0,0,0,0,0,0,3,3,4,5,6,8,12,12,12,12,12,13,13,0,0574534,Ian McShane
0437283,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0437283,Christian Kane
0545648,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0545648,Luigi Marchione
0056030,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0056030,Matthew Barney
1303433,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,0,1303433,John Abraham
0433692,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0433692,Ann Eleonora Jørgensen
0146915,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,0,0146915,Tom Cavanagh
0000652,2,2,2,2,3,3,4,4,4,5,6,7,7,8,11,14,15,16,16,0,0000652,James Spader
0089456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0089456,Marc Blucas
0001564,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,0,0001564,Bebe Neuwirth
0362484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0362484,Cory Hardrict
0837942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0837942,Larry Sullivan
1107127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107127,Reece Thompson
0000648,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,0,0000648,Wesley Snipes
0001993,0,0,0,1,1,1,1,1,1,1,2,3,9,11,11,11,11,12,15,0,0001993,Vincent Cassel
0001065,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0001065,Harry Connick Jr.
0000236,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,10,10,11,0,0000236,Jennifer Tilly
0001435,8,9,10,11,12,13,13,13,13,14,14,16,16,17,17,17,17,18,18,0,0001435,Lisa Kudrow
0236564,0,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,6,6,0,0236564,Dr. Dre
0433969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0433969,Patricia Kaas
1046097,0,0,0,0,1,1,1,3,3,3,3,4,4,5,6,6,9,17,19,0,1046097,Rachel McAdams
0002181,1,1,1,1,1,2,2,2,2,2,3,3,5,6,7,7,7,7,7,0,0002181,Imanol Arias
0001231,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0001231,Claire Forlani
1033215,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,0,1033215,John Paul Tremblay
1267008,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1267008,Rimi Sen
0000139,0,6,8,15,17,19,19,20,21,21,21,21,22,23,23,25,27,27,27,0,0000139,Cameron Diaz
0007102,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,4,0,0007102,Tabu
0077681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0077681,Sudesh Berry
0318821,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,0,0318821,Aidan Gillen
0363699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0363699,Elisabeth Harnois
0000174,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,0,0000174,Val Kilmer
0339460,0,0,0,0,0,1,1,1,1,1,1,1,4,8,8,9,9,10,10,0,0339460,Judy Greer
0811242,0,0,1,1,1,2,2,2,2,4,5,5,5,5,5,5,5,5,5,0,0811242,Brittany Snow
0144058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0144058,Alan Cassell
0000662,2,2,2,2,3,4,4,5,7,8,11,12,13,16,16,18,21,21,22,0,0000662,Kiefer Sutherland
0004761,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0004761,Rachel Blanchard
0180984,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,0,0180984,Kevin Corrigan
0716293,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0716293,Saskia Reeves
1027293,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1027293,Aishwarya
0000541,11,12,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,17,17,0,0000541,Bette Midler
0834282,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0834282,Gary Stretch
0005321,0,0,0,0,0,0,0,1,1,1,3,3,3,3,6,7,8,8,8,0,0005321,Monica Potter
0001305,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,0,0001305,Lukas Haas
0357979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0357979,Josh Hamilton
0768614,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,9,0,0768614,Leonardo Sbaraglia
0782648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0782648,Rapulana Seiphemo
0001626,3,4,5,5,5,5,5,5,5,5,6,7,18,24,24,24,25,26,26,0,0001626,Christopher Plummer
2639419,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2639419,Ida Elise Broch
1417647,0,0,0,0,0,1,2,2,4,4,4,4,4,4,4,4,4,4,4,0,1417647,Jon Heder
0000693,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,0,0000693,Peter Weller
