,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0744485,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0744485,Pablo Rosso
0193470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0193470,Oliver Curtis
0117381,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,0,0117381,Eigil Bryld
0494822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0494822,Eric Leach
0002336,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0002336,Declan Quinn
0506654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0506654,Yaron Levy
0661162,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0661162,John Pardue
2672119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2672119,Bradley Stonesifer
0005696,1,1,1,1,1,1,2,3,7,11,11,11,11,11,11,13,13,14,14,0,0005696,Robert Elswit
1056059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1056059,Rajeev Ravi
0355722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0355722,Jess Hall
0204567,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0204567,Elliot Davis
0832481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0832481,Michael Storey
0001675,13,13,13,13,13,13,17,19,21,21,21,22,22,22,23,25,28,28,28,0,0001675,Robert Rodriguez
0344738,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0344738,Alexander Gruszynski
0889678,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0889678,Checco Varese
1075939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075939,Anton Bakarski
0238698,4,4,4,4,4,4,7,8,8,8,8,8,8,8,8,8,8,8,9,0,0238698,Stuart Dryburgh
0101741,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,0,0101741,David Boyd
0452654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0452654,Jan Kiesser
0004302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0004302,Ken Kelsch
1387144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387144,Sirsha Ray
0001382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0001382,Peter Hyams
0458430,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0458430,Rainer Klausmann
2271135,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,0,2271135,Carlos Lopes
1104850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104850,Harris Charalambous
0262210,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0262210,Lukas Ettlin
0003900,1,2,2,2,2,3,4,5,5,6,6,6,8,9,9,9,10,10,10,0,0003900,José Luis Alcaine
0775262,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,5,0,0775262,Nancy Schreiber
1469403,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1469403,Nelson Cragg
1054979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1054979,Frank G. DeMarco
2158807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158807,Matt Flannery
0862946,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,0,0862946,Seamus Tierney
1260544,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,5,0,1260544,Oscar Faura
0130369,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,0,0130369,Thomas L. Callaway
1838655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1838655,Nathan Wilson
1718906,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,1718906,Jules O'Loughlin
0338719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0338719,David Greene
1539359,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1539359,Márk Györi
2387156,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2387156,Daniël Bouquet
0315010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0315010,Helge Gerull
0410419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0410419,Mark Irwin
0558822,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0558822,John Mathieson
0831578,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0831578,Dan Stoloff
0690940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0690940,Hang-Sang Poon
