,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0650615,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,0,0650615,Tim Orr
0004287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0004287,Alex Thomson
0613360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0613360,Maximo Munzi
0433895,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,0,0433895,K.V. Anand
0412353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0412353,Tim Ives
0487082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0487082,Roger Lanser
0935732,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0935732,Glen Winter
0005886,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,10,0,0005886,Vittorio Storaro
0278475,0,0,0,0,1,1,1,1,1,1,5,10,10,10,11,11,11,11,11,0,0278475,Mauro Fiore
0942149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0942149,Aril Wretblad
0286335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0286335,David Foreman
0005851,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,0,0005851,Juan Ruiz Anchía
0003140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0003140,David Klein
0002470,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,4,4,4,4,0,0002470,M. David Mullen
0005859,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0005859,Tobias A. Schliessler
0849413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0849413,Ciarán Tanham
0785381,3,3,3,3,5,10,11,12,12,13,13,17,18,18,18,18,18,18,18,0,0785381,Eduardo Serra
0732199,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0732199,Jean-François Robin
0826584,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0826584,Peter Steuger
0322694,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0322694,James Glennon
0005703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0005703,Don E. FauntLeRoy
0542364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0542364,Teodoro Maniaci
0127576,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0127576,Ciro Cabello
0669797,0,0,0,0,0,0,0,0,1,1,2,6,6,6,6,6,6,6,6,0,0669797,Nicola Pecorini
