,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0340003,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,0,0340003,Rupert Gregson-Williams
0563841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0563841,Mark McAdam
0006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0006012,Elia Cmiral
0385311,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0385311,Stephen Hilton
1177766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1177766,Joseph Bishara
0892868,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,0,0892868,James L. Venable
1132022,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1132022,Jeff Cardoni
0006133,0,0,1,1,1,2,3,4,4,8,15,15,16,16,17,17,17,19,21,0,0006133,James Newton Howard
3032664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,3032664,Amit Trivedi
1985821,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1985821,Jamin Winans
0002366,1,1,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,0,0002366,Christopher Young
0433580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,18,25,0,0433580,Jóhann Jóhannsson
1879398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879398,Kevin Lau
0646203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0646203,George Oldziey
0956374,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,0,0956374,Aaron Zigman
0622782,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,7,7,7,7,0,0622782,Javier Navarrete
0001189,3,5,5,5,6,15,15,16,16,16,18,18,18,19,19,21,21,22,24,0,0001189,Gabriel Yared
0243943,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0243943,Justin R. Durban
0003972,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,5,0,0003972,Ryan Shore
0434222,0,0,0,1,1,1,9,9,9,9,10,10,10,10,10,10,10,10,10,0,0434222,Jan A.P. Kaczmarek
0624820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0624820,Michael Neilson
0865427,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0865427,Martin Todsharow
1318670,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,7,8,8,9,0,1318670,Vishal Dadlani
0765968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0765968,Bernardo Sassetti
0935060,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,0,0935060,David Wingo
0628056,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,0,0628056,David Newman
0056550,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,0,0056550,Nathan Barr
0390867,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0390867,Andrew Hollander
0673137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0673137,Heitor Pereira
0790481,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0790481,Edward Shearmur
4390103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4390103,Aria Prayogi
1067825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067825,John Swihart
0501999,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0501999,Christopher Lennertz
1224445,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,0,1224445,Salim Merchant
1302939,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,4,6,9,0,1302939,Fernando Velázquez
0113117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0113117,Bill Brown
2227793,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,2227793,John Rowley
1511098,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1511098,Geoffrey Cox
0103593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0103593,Christopher Brady
1263096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263096,Ádám Balázs
0543739,0,0,0,0,0,0,0,1,2,2,3,8,16,19,20,21,21,21,21,0,0543739,Clint Mansell
0137459,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0137459,Robert Carli
0596495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0596495,Charlie Mole
0014697,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0014697,Chris Ainscough
1564659,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,1564659,Stephen Barton
0821853,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0821853,Meiro Stamm
1006435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006435,Carlos José Alvarez
1640468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1640468,Theo Green
0325050,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,0,0325050,Murray Gold
0592795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0592795,Piyush Mishra
0065100,1,2,2,3,3,3,3,4,4,4,4,4,4,4,8,11,12,12,12,0,0065100,Christophe Beck
0354453,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0354453,tomandandy
2395325,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,5,0,2395325,Austin Wintory
0006288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0006288,David Shire
3225654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,3225654,Justin Hurwitz
0003911,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,5,5,5,5,0,0003911,Brian Tyler
0324184,0,0,0,0,0,0,0,1,1,1,1,1,3,5,5,5,7,7,7,0,0324184,Lucio Godoy
0129992,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0129992,John Califra
0822928,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0,0822928,Stuart Staples
