,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0049371,0,1,1,1,1,1,1,2,2,4,4,4,5,5,5,5,6,6,6,0,0049371,Jaume Balagueró
0382072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0382072,Peter Hewitt
0453270,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0453270,Clare Kilner
0589182,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5,6,0,0589182,Rebecca Miller
2443600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2443600,Lisa Barros D'Sa
0317368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0317368,Adam Gierasch
0140617,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0140617,Gareth Carrivick
1767218,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1767218,Lee Toland Krieger
0006904,1,1,1,1,1,1,2,2,9,18,20,20,20,20,20,22,25,25,28,0,0006904,Tony Gilroy
0440604,0,0,0,0,0,1,1,1,1,2,2,2,2,3,8,8,11,14,17,0,0440604,Anurag Kashyap
1985821,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1985821,Jamin Winans
0000750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0000750,Jon Amiel
0390873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0390873,David Hollander
0174551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0174551,Wilson Coneybeare
0001675,1,1,1,1,1,1,4,8,12,12,12,12,12,12,12,13,13,13,13,0,0001675,Robert Rodriguez
0093051,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0093051,Uwe Boll
1347153,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,8,12,12,12,0,1347153,Tyler Perry
1084937,0,0,0,1,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,0,1084937,Luiso Berdejo
0929317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0929317,Toby Wilkins
0619762,4,4,5,6,10,11,11,11,12,12,12,12,12,12,12,13,13,15,17,0,0619762,Mira Nair
1488800,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,7,7,7,0,1488800,Ti West
0773689,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,0,0773689,Aaron Schneider
1721795,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1721795,Mark A. Lewis
0333804,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0333804,Todd Graff
0394776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0394776,Sherry Hormann
1223910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1223910,Sujoy Ghosh
