,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0337773,0,4,5,5,6,9,9,9,11,13,13,13,13,13,14,20,20,20,20,0,0337773,David Gordon Green
0525141,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0525141,John Luessenhop
0457565,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,6,6,7,0,0457565,Ryûhei Kitamura
0000110,8,10,10,11,11,11,11,11,11,11,12,12,16,28,29,29,29,29,29,0,0000110,Kenneth Branagh
0819500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0819500,Martin Spottl
0451257,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0451257,Mansoor Khan
0320588,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0320588,Bob Giraldi
1134771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,1134771,Rob Hardy
0255780,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0255780,Ben Elton
0898547,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0898547,Robert Vince
0040125,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,0040125,Dmitriy Astrakhan
0000778,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0000778,Alfonso Arau
0579079,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,0,0579079,Mike Mendez
0001405,1,1,2,3,3,3,3,4,5,9,9,9,12,16,22,23,24,27,29,0,0001405,Janusz Kaminski
0267244,0,0,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0267244,Josef Fares
0103262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0103262,James Allen Bradley
0001681,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,0,0001681,George A. Romero
0227781,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0227781,Michael Dinner
0909026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0909026,Anthony Waller
0180912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0180912,Michael Corrente
0792241,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0792241,Peter Sheridan
0075626,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0075626,Alain Berliner
0466349,0,1,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,7,8,0,0466349,Baltasar Kormákur
0948267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0948267,Dwight Yoakam
0329116,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0329116,Jenniphr Goodman
0908352,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0908352,Gary Walkow
0159402,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0159402,Élie Chouraqui
0370985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0370985,Derek W. Hayes
0000511,9,9,9,9,9,9,11,11,11,11,15,15,15,17,20,21,21,21,21,0,0000511,Shirley MacLaine
0735134,0,1,1,1,1,1,2,2,2,3,5,6,6,8,8,8,10,13,18,0,0735134,João Pedro Rodrigues
0403963,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,0,0403963,Karim Hussain
0667734,0,0,1,1,1,2,4,4,4,4,4,4,6,6,7,10,16,16,16,0,0667734,Pawel Pawlikowski
0006765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0006765,Vidhu Vinod Chopra
