,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0076353,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0076353,Paul F. Bernard
1994720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1994720,Mitch Dickman
0003932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0003932,Josy Capkun
0126823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0126823,Stephen Bélanger
0051466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0051466,James Bamford
0090292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0090292,Roger M. Bobb
0090709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0090709,Adam Bocknek
0279305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0279305,Stacy Fish
1463622,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1463622,Kayse Goodell
2052121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052121,Keith Gomes
2360335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360335,Kyle Broom
1259444,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1259444,Jai James
0066482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0066482,Dickey Beer
1095357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1095357,Wendy Bledsoe
0095574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0095574,Katrine Boorman
0083641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0083641,Matt Birman
0118257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0118257,Roman Buchok
3035236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3035236,Vasan Bala
3698964,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3698964,Nick Caccese
2159448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159448,Elizabeth Farrer
0405223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0405223,Gary Hymes
1656178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,0,1656178,Lucie Borleteau
1505663,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1505663,Timothy Blockburger
2973574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973574,Paolo Bartoli
2590834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590834,Özgür Sevimli
0456222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0456222,Scott Kirby
0330438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0330438,Matthew Gordon
1449136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449136,Anya Adams
0006717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0006717,Jochen Kunstler
0260424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0260424,Adam Escott
3021924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,7,0,3021924,Jason Allen
0066016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0066016,Michael Bederman
0005002,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0005002,Ike
2029106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2029106,Chad Archibald
1004206,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1004206,Ditch Davey
0187900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0187900,Robert Crippen
0428278,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0428278,Jack Jones
