,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
1051468,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,0,1051468,David Gallart
0470410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0470410,Carole Kravetz Aykanian
2309326,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2309326,Radu Ion
2512313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512313,Nick Emerson
0169212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0169212,Andrew Cohen
1768696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768696,Gino Roy
0319673,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,7,0,0319673,John Gilroy
1589714,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,0,1589714,Aarti Bajaj
1985821,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1985821,Jamin Winans
0646941,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,5,5,5,0,0646941,Melanie Oliver
0171130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0171130,Lori Jane Coleman
0277608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0277608,Ellen Fine
0398335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0398335,Maysie Hoy
0424489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0424489,Allyson C. Johnson
0359000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0359000,Janice Hampton
0773689,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,0,0773689,Aaron Schneider
1038039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038039,Rob Neilson
0318105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0318105,John Gilbert
0264791,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0264791,Clara Fabry
0656664,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0656664,Suresh Pai
1913095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913095,Andrew Bird
3949693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3949693,João Braz
2005138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005138,Joseph Guzman
1637928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637928,Peter Samet
0136057,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0136057,Luis Carballar
0004011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0004011,Patrick J. Don Vito
2297708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2297708,Christopher Dane
0711052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0711052,Steven Rasch
0266703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0266703,Peter Fandetti
0460114,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0460114,Joe Klotz
2153088,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,0,2153088,Gareth Evans
1991527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991527,David Beatty
1438231,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,4,4,0,1438231,Alberto de Toro
0174749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0174749,Chris Conlee
0602872,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0602872,Jane Moran
1198880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1198880,Geoff Ashenhurst
2245768,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,0,2245768,Matyas Fekete
0002677,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0002677,Nathalie Alonso Casale
0079567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0079567,Avril Beukes
0659013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0659013,Kant Pan
0003759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0003759,Ed Marx
0002711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0002711,Michael Doherty
1294091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1294091,Eli Olson
0588998,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0588998,Michael R. Miller
0714070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0714070,Keith Reamer
0058442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0058442,Phillip J. Bartell
0973051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0973051,Úna Ní Dhonghaíle
0399523,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0399523,Ray Hubley
3227090,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,10,25,37,0,3227090,Damien Chazelle
0130772,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,0,0130772,Francesca Calvelli
0753030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0753030,Ewin Ryckaert
1116805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1116805,Nick Meyers
1638941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1638941,John F. Lyons
0702760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0702760,Massimo Quaglia
