,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0113399,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0113399,Dennis Brown
0143939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0143939,Guymon Casady
0097717,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0097717,Simon Bosanquet
0014808,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,0,0014808,Conchita Airoldi
2134474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,0,2134474,Vikas Bahl
3250646,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,3250646,Mohamed Khalaf Al-Mazrouei
0093051,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,0,0093051,Uwe Boll
0090292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0090292,Roger M. Bobb
0060103,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0060103,Ronald Bass
1358156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358156,Daniel Baur
0138034,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0138034,Trent Carlson
4771033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4771033,Micheal Flaherty
1223910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,1223910,Sujoy Ghosh
0062332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0062332,Craig Baumgarten
0015359,1,1,3,3,3,5,7,7,12,14,14,14,15,15,15,17,18,18,21,0,0015359,Fatih Akin
0196088,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,0,0196088,António da Cunha Telles
0381478,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0381478,Jared Hess
0116232,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,0,0116232,Dana Brunetti
2411369,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,2411369,Kate Madison
0210941,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0210941,Miranda de Pencier
0159147,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,5,5,6,7,0,0159147,Aditya Chopra
