,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,id,i
0049371,0,1,1,1,1,1,1,2,2,4,4,4,5,5,5,5,6,6,6,0,0049371,Jaume Balagueró
0589182,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5,6,0,0589182,Rebecca Miller
2076151,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2076151,Daragh Carville
0026829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0026829,Jace Anderson
2471028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471028,Jamie Mathieson
1767218,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1767218,Lee Toland Krieger
0006904,1,1,1,1,1,1,2,2,9,18,20,20,20,20,20,22,25,25,28,0,0006904,Tony Gilroy
0154158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0154158,Saratchandra Chatterjee
1985821,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1985821,Jamin Winans
0171722,0,0,0,0,1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,0,0171722,John Collee
0390873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0390873,David Hollander
0174551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0174551,Wilson Coneybeare
0001675,1,1,1,1,1,1,4,8,12,12,12,12,12,12,12,13,13,13,13,0,0001675,Robert Rodriguez
0093051,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0093051,Uwe Boll
1347153,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,8,12,12,12,0,1347153,Tyler Perry
1234345,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,0,1234345,Takashi Shimizu
0060103,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0060103,Ronald Bass
0539801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0539801,Joshua Malkin
0699046,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,0,0699046,Chris Provenzano
1721795,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1721795,Mark A. Lewis
1038800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1038800,Josh A. Cagan
1318670,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,7,8,8,9,0,1318670,Vishal Dadlani
0745330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0745330,Richard Rothstein
0015359,2,2,2,2,2,2,5,6,7,10,15,17,17,17,17,18,19,19,21,0,0015359,Fatih Akin
0554076,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,0,0554076,Marco Martins
0381478,0,0,0,0,0,1,3,3,3,3,3,4,4,4,4,4,4,4,4,0,0381478,Jared Hess
2356614,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2356614,Jac Schaeffer
0718514,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,0,0718514,Mike Reiss
0151540,0,0,0,0,0,0,1,2,2,2,2,2,2,4,4,4,4,4,4,0,0151540,Jay Chandrasekhar
0791248,0,0,0,0,0,0,0,0,5,8,8,8,8,8,8,8,8,8,8,0,0791248,Adrienne Shelly
2551258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551258,Steve Allrich
1475479,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,0,1475479,Jim Strouse
2153088,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,0,2153088,Gareth Evans
0006874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0006874,Julie Davis
0562470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0562470,Max Mayer
1156290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1156290,Jaideep Sahni
2161247,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,2161247,Paco Cabezas
0636066,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0636066,Simone North
0824220,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,6,6,6,6,0,0824220,Peter Stebbings
3270827,0,0,0,0,0,0,0,0,0,0,3,5,5,6,6,8,12,13,13,0,3270827,Peter Strickland
1773563,0,0,0,0,0,0,0,0,0,0,1,5,9,9,9,9,10,10,15,0,1773563,Urszula Antoniak
1165704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1165704,Jane Kelly Kosek
0005540,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,0,0005540,Keenen Ivory Wayans
0001681,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,0,0001681,George A. Romero
0006554,0,0,0,1,1,1,2,4,4,5,5,5,8,8,8,8,8,8,8,0,0006554,Rodrigo García
0058442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0058442,Phillip J. Bartell
0566343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,0,0566343,Sean McConville
0000850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0000850,Clive Barker
0211193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0211193,Everett De Roche
0275277,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0275277,Shana Feste
2099491,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,5,5,0,2099491,Paul Solet
0001382,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0001382,Peter Hyams
3227090,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,10,25,37,0,3227090,Damien Chazelle
5361216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361216,Márcia Paveck
2803289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803289,Gus Krieger
0849786,0,0,1,2,6,6,7,7,7,7,8,8,8,10,12,14,14,16,16,0,0849786,Danis Tanovic
0219136,3,3,6,6,6,6,7,7,7,8,10,12,13,13,15,15,16,16,18,0,0219136,Claire Denis
2609807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,2609807,Kelly Fremon Craig
2209781,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,6,6,0,2209781,Ayan Mukherjee
0175352,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,7,7,7,0,0175352,Robert Connolly
1660311,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1660311,David Brind
0868153,4,4,6,7,8,8,8,8,9,9,9,9,9,9,12,13,13,13,13,0,0868153,Giuseppe Tornatore
0676361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0676361,Charlie Peters
1665004,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,6,6,0,1665004,Imtiaz Ali
0069166,4,4,4,4,4,5,5,5,6,6,9,13,14,14,16,16,16,18,20,0,0069166,Marco Bellocchio
3090268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3090268,Ed Brubaker
0462164,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0462164,Flip Kobler
0061982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0061982,Brian Baugh
1024677,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,4,4,4,0,1024677,John Krasinski
0710272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0710272,Kyle Rankin
1028832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,1028832,Renzil D'Silva
0001754,9,10,11,11,11,11,11,11,11,11,12,14,18,18,18,18,18,20,21,0,0001754,Todd Solondz
0948000,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,0,0948000,Cem Yilmaz
0697934,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0697934,D. Kerry Prior
0862932,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0862932,Jacob Tierney
2073429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073429,Brett Goldstein
0013138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0013138,Jim Agnew
1871393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871393,George A. Johnson
0382505,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,6,0,0382505,Guy Hibbert
0764982,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,10,0,0764982,Jan Sardi
0000365,1,1,1,1,1,2,2,2,2,4,5,5,5,5,18,28,28,28,28,0,0000365,Julie Delpy
3014420,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,5,6,6,0,3014420,Marco Berger
1732946,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,6,8,0,1732946,Hélène Cattet
1151780,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1151780,Suzi Yoonessi
0648545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0648545,David Ondaatje
2064480,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,0,2064480,Tina Mabry
0129517,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0129517,Agustín Calderón
1442694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442694,Brant Sersen
0394032,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0394032,Nathan Hope
0365666,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0365666,John Harrison
2063526,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,0,2063526,Alexis Dos Santos
3508781,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,3508781,Abhinav Kashyap
1085525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1085525,Engin Günaydin
0320546,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0320546,Buddy Giovinazzo
0689081,0,0,0,1,1,2,2,3,3,4,4,4,4,4,4,5,5,5,5,0,0689081,Stephen Poliakoff
0695609,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,0,0695609,Ruth Prawer Jhabvala
2669564,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,0,2669564,R. Balki
1548627,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1548627,Talmage Cooley
0492215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0492215,George LaVoo
1119645,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,5,5,5,5,0,1119645,Lynn Shelton
0614742,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0614742,Tab Murphy
0578011,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0578011,Louis Mellis
0138007,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0138007,Ron Carlson
1802449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802449,Rajat Arora
0853095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0853095,Roderick Taylor
0412220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0412220,Hans Iveberg
1360168,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1360168,Eric Lunsky
0159147,0,0,1,1,1,1,1,1,1,2,2,2,4,4,4,5,5,5,6,0,0159147,Aditya Chopra
0837839,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,0,0837839,Elia Suleiman
0186117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0186117,Mike Cram
1514327,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,1514327,Rupert Glasson
0413556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0413556,Gildart Jackson
0332950,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,5,5,0,0332950,Ashutosh Gowariker
1248824,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,4,0,1248824,Mark O'Rowe
1413443,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,4,0,1413443,Samuel Maoz
0225869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0225869,Katherine Dieckmann
0007182,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,0,0007182,Alex Cox
2017718,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2017718,Géraldine Bajard
1650905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1650905,Jonathan auf der Heide
1172243,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1172243,Frank Hannah
1557909,0,0,0,0,0,0,0,0,0,4,9,10,10,10,10,11,11,11,11,0,1557909,Robert Siegel
0002822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0002822,Mark Hosack
1754436,0,0,0,0,0,0,0,3,4,4,7,8,8,8,8,8,10,10,10,0,1754436,Sophie Barthes
0729151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0729151,Stephen J. Rivele
0618779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0618779,Ruba Nadda
0632152,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0632152,Anders Nilsson
1424824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1424824,Darren Flaxstone
0726000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0726000,Philip Ridley
0689185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0689185,Mark Polish
0915814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0915814,Blayne Weaver
0154104,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,0,0154104,Mike Clattenburg
1018493,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,0,1018493,Rakeysh Omprakash Mehra
1430258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430258,Jonathan Glatzer
1321515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321515,Jake Kennedy
0274842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0274842,Chad Ferrin
0709182,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0709182,Jorge Ramírez Suárez
1976116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1976116,Gerard Johnson
0357453,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0357453,John Hamburg
0105571,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,0,0105571,Peter Bratt
2442634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442634,Jeff Siegel
0779170,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0779170,Gavin Scott
0085257,0,0,0,0,0,0,0,0,0,5,14,15,15,15,15,15,15,15,15,0,0085257,Dustin Lance Black
1678479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678479,Michael Carnes
2226110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226110,Abdul Williams
0711422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0711422,Tim Rasmussen
0007066,0,0,2,2,2,2,3,3,4,4,4,4,5,5,8,8,8,8,8,0,0007066,Nanouk Leopold
0315041,0,0,0,0,0,1,1,1,2,5,6,7,8,10,10,10,12,13,14,0,0315041,Ricky Gervais
0203246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0203246,Boaz Davidson
0080220,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,0,0080220,Sanjay Leela Bhansali
1697112,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1697112,Adam Green
0195720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0195720,Rik D'Hiet
1740888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740888,Michael Lander
1397301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1397301,Anurag Basu
0249882,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0249882,Cheryl Edwards
0315065,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,5,5,5,5,0,0315065,Sacha Gervasi
3016585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3016585,Jesse Holland
0919352,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,0,0919352,Michael J. Weithorn
0457053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0457053,Kate Kirtz
1379002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,1379002,David Robert Mitchell
0725006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0725006,Mordecai Richler
3814301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,3814301,Amitabh Bhattacharya
0718125,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,9,16,17,0,0718125,Athina Rachel Tsangari
1492832,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1492832,Michael Goldbach
0258531,2,2,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,0,0258531,Rob Epstein
1142722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142722,David Roach
0811138,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0811138,Norman Snider
1749449,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,0,1749449,Mahsun Kirmizigül
1388074,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,0,1388074,Tony Jaa
0909629,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,0,0909629,Enda Walsh
0024925,5,5,5,5,5,5,5,5,5,5,5,5,10,16,16,16,18,18,18,0,0024925,Hossein Amini
0348640,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0348640,Andrew Gurland
0254288,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0254288,Michael Elliot
2903680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2903680,Marja-Lewis Ryan
2982401,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2982401,Michael Armbruster
1473091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,0,1473091,Steffen Haars
3225152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3225152,Erik Linthorst
0750121,1,1,1,1,1,1,1,2,3,3,3,3,4,6,6,6,6,6,7,0,0750121,Simon Rumley
0692683,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0692683,Marek Posival
2101751,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,0,2101751,Anvita Dutt Guptan
0389712,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,0,0389712,Joanna Hogg
1009277,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1009277,Dax Shepard
0097785,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0097785,Rose Bosch
0422552,0,0,0,0,0,2,2,3,3,3,3,4,5,6,6,6,6,6,6,0,0422552,Prakash Jha
0795651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0795651,Dilip Shukla
0484907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0484907,Christopher Landon
3397365,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,3397365,Juanita Wilson
0032425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0032425,Dudi Appleton
0011374,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0011374,Steve Adams
2501633,0,0,0,0,0,0,0,0,0,0,0,2,4,4,9,12,13,14,14,0,2501633,Lena Dunham
0392237,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,0,0392237,Nicole Holofcener
