Name,ID
Brian Tyler,0003911
Lisa Gerrard,0314713
Danny Elfman,0000384
Clint Mansell,0543739
Trevor Rabin,0704909
John Cale,0129816
John Murphy,0652663
John Debney,0002201
David Julyan,0432382
John Williams,0002354
,
Nancy Wilson,0933896
Marco Beltrami,0001937
Ennio Morricone,0001553
Alan Silvestri,0006293
James Newton Howard,0006133
Trevor Horn,0394924
Thomas Newman,0002353
Stephen Warbeck,0006339
T Bone Burnett,0122439
Rachel Portman,0006235
Randy Edelman,0006055
Christophe Beck,0065100
Hans Zimmer,0001877
Michael Simpson,0801121
Michael Galasso,0301704
Howard Shore,0006290
Adam Hamilton,7526680
Angelo Badalamenti,0000823
Jerry Goldsmith,0000025
Pino Donaggio,0006043
Cliff Martinez,0553498
Dun Tan,0241753
Graeme Revell,0006251
Masamichi Amano,0023916
Björk,0001951
Elia Cmiral,0006012
Lee Scott,0779479
David Newman,0628056
Christopher Lennertz,0501999
Teddy Castellucci,0144841
Roque Baños,0063414
James Horner,0000035
Edward Shearmur,0790481
Mike Shields,1732890
Danny Bensi,3737483
Gustavo Santaolalla,0763395
Randy Newman,0005271
Harry Gregson-Williams,0004581
Mark Isham,0006142
David Kitay,0457598
David Williams,0909144
CJ Vanston,0889350
John Powell,0694173
Terence Blanchard,0005966
Lennie Niehaus,0006215
Trevor Jones,0002303
Michael Kamen,0004383
Richard Gibbs,0006099
Latham Gaines,1271793
Kevin Bassinson,0060311
Richard Marvin,0555552
Elmer Bernstein,0000930
Nigel Clarke,1746486
George Fenton,0006070
Carter Burwell,0001980
The Angel,0029500
Varou Jan,0417291
Steve Bartek,0058418
Philippe Rombi,0739151
Dan Jones,7712523
Mason Daring,0006025
Ilaiyaraaja,0006137
Christopher Young,0002366
Stanley Clarke,0006010
Nick Glennie-Smith,0322684
Justin Caine Burnett,0007212
Nicholas Pike,0006229
Larry Paxton,0668125
Sung-woo Jo,0158654
George S. Clinton,0003392
Mick Harvey,0367647
Lesley Barber,0053427
Stewart Copeland,0004841
Tyler Bates,0061045
Joe Kraemer,0469145
Pierpaolo Tiano,0004379
William Ross,0743919
Junior Campbell,3614912
Kai-Li Peng,0671821
Mark Adler,0012206
Bruno Coulais,0006020
Nathan Larson,0489059
Jeff Beal,0063618
Frédéric Talgorn,0848055
John Hughes,0000455
Mark Mothersbaugh,0006205
Anu Malik,0006182
Benny Andersson,0027630
Mihály Vig,0896902
BT,0117741
Jun-seok Bang,0051917
Luis Bacalov,0005953
David Hirschfelder,0386595
Patrick Doyle,0236462
César Lerner,6549949
Walter Werzowa,0007141
Marcus Miller,0588883
Basil Poledouris,0006231
Al Khemya,0451596
Marco D'Ambrosio,0195098
Edmund Choi,0158802
Gabriel Yared,0001189
Joe Ng,0628779
Ben Vaughn,5119951
Osvaldo Golijov,0326497
Gene McDaniels,0567403
Xavier Capellas,0135056
Rajesh Roshan,0004436
John Ottman,0653211
Lyle Lovett,0005164
Giba Gonçalves,0328580
Larry Groupé,0343935
John Dankworth,0006023
Bent Fabricius-Bjerre,0006065
Brian Eno,0006061
Tal Bergman,0074866
Claude Foisy,0284001
Craig Pruess,0699192
Cecily Fay,1523097
Michael Nyman,0006219
Bok-sung-a,1584315
Wes Nagy,1046258
Normand Corbeil,0002934
John Lurie,0527099
Theodore Shapiro,0788640
Tetsuro Kashibuchi,0440545
Sang-yun Jeon,0421816
Jeff Rona,0006258
Michael Tavera,0851699
Christopher Brady,0103593
Jatin Pandit,1269729
Jacqui Hunt,1415860
Andrea Morricone,0606297
Rolfe Kent,0448843
Pierre Desrochers,0221678
Robert McNaughton,0573802
Ulrich Kodjo Wendt,0920930
Zbigniew Preisner,0006237
Shinji Miyazaki,1257942
Charles Bernstein,0017450
Karl Dumas,9553925
Colin Towns,0870061
Quentin Sirjacq,2895994
Damon Albarn,0016332
Vincent Gallo,0001252
Grandbrothers,11015598
Richard Ziegler,0956134
Bill Conti,0006015
Tree Adams,0386640
Simon Boswell,0005972
Thenewno2,3339282
Søren Hyldgaard,0405116
Donald Rubinstein,0748261
David M Saunders,4804106
Daniel Lemma,0501394
Evan Lurie,0527093
Maurice Jarre,0003574
Barrington Pheloung,0006224
Jian Cui,0191277
Chris Holmes,0391777
David Mansfield,0543779
Perry Blake,0086690
Nobuhiko Morino,0605629
Michael Brook,0111649
Udi Harpaz,0363795
Brahm Wenger,0002335
Sá Grama,3785632
Carl Coleman,9012562
Mike Figgis,0001214
Andrzej Korzynski,0466863
Richard Robbins,0006442
Jan A.P. Kaczmarek,0434222
Stephen Endelman,0006059
Marius Ruhland,0749519
Detto Mariano,0547119
Roger Neill,0002685
Kôhei Tanaka,0465520
Michael Linnen,0513061
Stanislas Syrewicz,0822315
Alan John,0424125
John Carney,0138809
Jean-Jacques Hertz,0381090
Steve Gurevitch,0348585
Giovanni Sollima,1525107
Adrian Johnston,0426514
Hyeon-Cheol Kim,1425206
Mon Del Rosario,0215855
Chris Harriott,0364369
Anand Chitragupth,0006002
Nakh,1857619
Branford Marsalis,0550364
Danny B. Harvey,0004311
Patrik Frisk,1076575
Johnny Klimek,0459517
Adesh Shrivastava,0795411
Peter Chase,0153817
David Klein,0003140
Patrick Seymour,5202978
Jacques-Emmanuel Rousselon,0746050
Dickon Hinchliffe,0385467
Nonong Buencamino,0119194
Will Gregory,4724245
Patrick Chi-Yin Kwok,3006988
Komeda,0006156
Courtney Pine,0683962
Anthony Guefen,0345770
Aaron Hoffman,0388796
Leonid Desyatnikov,0221864
Kensaku Tanikawa,0849460
Olli Ahvenlahti,0014406
Stéphane Brand,1026543
Ronald Frangipane,
Jan Kanty Pawluskiewicz,0668082
Gorô Yasukawa,0946662
James McVay,0574661
Younes Megri,0586034
Steven M. Stern,0004401
Tommy Wai,0906414
Alexandre Jaffray,0415519
William Yusi,0951126
Leoncio Lara,0487929
Huu Phuc Dang,0199467
Luiz Avellar,0042891
Mark Kozelek,0468820
Riccardo Galardini,0301660
Farhad Behroozi,0067113
Rajkumar,0004660
Luc Smets,0806862
Dave Goodman,1871158
Jan Tolf,0866022
Rainer Kirchmann,0456295
Nascuy Linares,0511038
Federico Bonasso,0093801
Chi Wah Leung,0504922
Ajit Singh,4782510
Pawel Mykietyn,0586409
Bappi Lahiri,0481568
Troy Dexter,5488642
Mohammad Reza Cheraghali,4433235
Antoine Duhamel,0006051
Woody Allen,0000095
Yannis Zouganelis,0958057
Frenchy O'Brien,0639556
Gerry Davenport,1232046
Werner Janssen,0418205
Tibor Szemzö,0843954
Michele Fazio,0269791
Young-bae Lee,1776007
Ivan Georgiev,5312533
Vakhtang Kakhidze,0435381
Carles Cases,0143352
Glaxion,8571412
Kazuhisa Uchihashi,0879770
Denis Lavigne,1080547
Alexandr Lunev,2791801
Igor Medvedev,2160679
Thomas Edward Seymour,0997990
Antoni P. Canet,0133897
John Mark Maio,1031067
Michel Marre,0550097
Roeland Dol,0230735
Anoop Rubens,3749112
Vladimir Dashkevich,0201999
Robert Marcel Lepage,0503217
Sylvi Alli,2041568
Yûichirô Kurosawa,6719671
Ryû Nakasora,3162254
Hossein Shahabi,6745899
V. Harikrishna,3132095
Joe Hisaishi,0386749
Michael Andrews,0028787
Mark Mancina,0006183
David Holmes,0017550
Craig Armstrong,0035661
Yann Tiersen,0862961
David Arnold,1349088
Mark McGrath,0005209
Alejandro Amenábar,0024622
Alberto Iglesias,0407076
Éric Neveux,0627411
Waddy Wachtel,0905186
Don Davis,0204493
William Goodrum,1132350
Paul Oakenfold,0642949
James L. Venable,0892868
Asche & Spencer,0779860
David Lawrence,1088527
John Frizzell,0002227
Bennett Salvay,0759403
Lalo Schifrin,0006277
Mervyn Warren,0912965
Joseph LoDuca,0006173
Anthrax,1022823
Pieter Bourke,0100020
Michael Wandmacher,0910800
Harry Manfredini,0006185
Karera Musication,1069908
Glover Gill,0318666
Javier Navarrete,0622782
Geronimo Mercado,2897624
Climax Golden Twins,1251505
A.R. Rahman,0006246
Sam Cardon,0136550
Damon 'Grease' Blackman,0085732
Bertrand Bonello,0094274
Klaus Badelt,0046004
Stephen Trask,0871136
Ying-Wah Wong,0939296
Yves Chamberland,0150239
Denis M. Hannigan,0360427
Anne Dudley,0006050
John Cameron,0131625
Shaun Davey,0202753
Benjamin Wallfisch,1818744
Marilyn Manson,0001504
Alexander Bubenheim,0117802
John O'Brien,0639625
Paul Haslinger,0368248
Heitor Pereira,0673137
Hyeong-seok Kim,9242567
Jeff Danna,0004582
Joel Diamond,2524344
Elliot Goldenthal,0006106
Mychael Danna,0002217
Babloo Chakravorty,1089323
Anthony Marinelli,0547579
James Edward Barker,1886083
Shankar Mahadevan,0536708
Blake Soper,0784404
Camara Kambon,0436493
Quincy Jones III,0005061
Headrillaz,1069301
Marc Shaiman,0003299
Jeehun Hwang,0404854
Alexandre Desplat,0006035
Brian Causey,1697584
Yôko Kanno,0437819
Susumu Hirasawa,0386279
Tindersticks,0863893
Ho-jun Park,0661835
Takefumi Haketa,1773843
Kôji Endô,0256862
Stephen McKeon,0571642
Michael Penn,0005304
Dustin O'Halloran,0641169
Julien Schultheis,1073615
Kevin Kiner,0454349
Jamshied Sharifi,0788785
Marcelo Zarvos,0953616
Gavin Friday,0294859
Keegan DeWitt,1548770
Barb Morrison,1054413
Daniel Licht,0006171
Pierre Földes,0284078
Alto Reed,1264759
Antony Genn,1054400
Patrik Bartosch,1049503
John Vaughn,5157421
Mahesh Mahadevan,2674150
Tomoki Hasegawa,1531821
Piano Magic,3856331
Tim Jones,0429350
Alex Khaskin,1040487
Michelle DiBucci,0225161
Cliff Eidelman,0006056
Terry Plumeri,0006230
Julian Nott,0636608
Reinhold Heil,0374112
James Duhamel,0923118
Bruce Young Berman,0075733
Uwe Fahrenkrog-Petersen,1069078
Peter Kam,0436348
Giong Lim,0510533
Paul M. van Brugge,0115763
Niki Reiser,0718426
Steve Hadley,2200702
Herman Beeftink,0066373
Ulf Skogsbergh,1046818
Eric Allaman,0019886
Harald Kloser,0460057
Chatchai Pongprapaphan,1041228
Byron Foster,1589580
Ian Whitcomb,0924369
Marty Beller,0068877
Kardes Türküler,1552397
Sol Kaplan,0006148
Vladimir Cosma,0006019
Ángel Illarramendi,0407766
Craig Richey,0724950
Lars Lillo-Stenberg,0510438
Eduard Artemev,0005949
Anton Sanko,0762863
Steven A. Reich,5187049
Paolo Buonvino,0120667
Patrick Chevalier,7962373
Pierre Begon-Lours,1359022
Ryan Shore,0003972
Hal Hartley,0001325
Nick Urata,2943572
Nicola Piovani,0003607
Takeshi Kobayashi,2170121
BC Smith,0807413
Dahoud Darien,1857550
Gary G-Wiz,0299861
Anand Raj Anand,0025607
Derek Barbosa,0944598
