Name,ID
Elizabeth Banks,0006969
David Franzoni,0291905
Audrey Geisel,0972213
Ben Barenholtz,0054449
Jerry Bruckheimer,0000988
Ernie Barbarash,0053228
Michael Dreyer,0237819
Jeffrey Chernov,0155942
Christopher Ball,0003544
Michael Dahan,0196857
,
Ian Bryce,0117290
Stuart M. Besser,0078804
Carlo Bernasconi,0076555
Steven J. Boyd,0101921
Gary Barber,0053388
Baker Bloodworth,0089118
Danny DeVito,0000362
Charles Brand,0104445
Tim Bevan,0079677
Prudence Fenton,0272075
Alan C. Blomquist,0088971
Don Carmody,0138502
Marc Abraham,0008953
Terence Chang,0151835
Daniel Goldberg,0325175
Ye-cheng Chan,0151175
Julio Caro,0138918
Chris Bender,0070454
Andrew Macdonald,0531602
Stacy Lumbrezer,0525864
Massimo Ferrero,0274686
Laura Bickford,0081046
Martin Campbell,0132709
Bo-Chu Chui,0161045
Bruce A. Block,0088692
Julia Chasman,0153892
Tom Engelman,0257259
Kenta Fukasaku,0297934
Malte Forssell,0286843
Ashok Amritraj,0002170
Mark Charpentier,0153444
Chris Brigham,0109103
Trevor Albert,0016603
Kenya Barris,1244069
Daniel K. Arredondo,0037186
Allen Covert,0184445
Hans Bauer,0061829
Hercules Bellville,0069275
Alan B. Curtiss,0193557
Bruce Berman,0075732
Tina Goldlist,0325725
Jason Blum,0089658
Guillermo Arriaga,0037247
Robert De Niro,0000134
Jake Eberts,0248180
Bill Badalato,0045927
Broderick Johnson,0424663
Joseph Barbera,0053484
Daniel Chuba,0160935
Gordon Mark,0330430
David Coatsworth,0167708
Dino Athanassiou,0040404
Frédéric Bovis,0100650
Matt Alvarez,0023297
Clint Eastwood,0000142
David S. Goyer,0333060
Bill Carraro,0140011
Celia D. Costas,0182472
Andrew Z. Davis,0002397
Richard Brickell,9855684
Peter Abrams,0009222
Ehud Bleiberg,0088173
Alan Collis,0172782
Cary Granat,0334665
Klaus Bauschulte,0062476
Caroline Baron,0056205
Richard Brener,0107196
Dominique Chiron,0158178
Grace Gilroy,0319666
Olivier Delbosc,0216635
Paul Brooks,0109638
Susan Cartsonis,0142134
Peaches Davis,5225868
Chandra Haasan,0352030
Ned Dowd,0235684
Warren Carr,0139893
Robert Bernacchi,0076006
Allen Crawford,10057648
Sean Connery,0000125
C.O. Erickson,0259021
Christopher Goode,0328805
Jonathan Gordon,3701515
Seoung-Jae Cha,0149223
Herbert W. Gains,0301382
Michele Bennett,0071938
Tony Gilroy,0006904
Keith Abell,0008536
Sue Baden-Powell,0046020
Twink Caplan,0135245
Kenneth Kokin,0463714
Martin J. Barab,0052774
Marty P. Ewing,0263988
Britt Allcroft,0020150
Shin'ya Kawai,0442777
Nicholas Burnett,5192432
Jérôme Chalou,0150063
Beau Flynn,0004927
Joseph Allen,0020695
Philippe Diaz,0225034
Claudio Argento,0034483
Leslie Arvio,0038130
A.G. Nadiadwala,0618897
Matt Berenson,0073554
Lisa Alwert,0023618
Matthias Ehrenberg,0251274
Ralph E. Cotta,0182909
Ross Grayson Bell,0068501
Eun Soo Lee,0497248
Augusto Casé,0143179
Delia Ephron,0258286
David Barron,0057655
Pablo Bossi,0098153
Marshall Persinger,0675470
Albert Botha,0098493
Fred Bernstein,0077043
Luc Besson,0000108
Lisa Henson,0378229
Yasuaki Iwase,2037526
Bobby Cohen,9064854
James D. Brubaker,0115384
Jon Kilik,0453091
Ron Bozman,0102508
Peter Barber,1653217
Virginia Biddle,0081161
Simona Benzakein,0073134
Sarah Green,0338320
Ted Chalmers,0150043
Bonnie Abaunza,0007771
Rakesh Roshan,0004363
Amanda Goodpaster,0329283
Santo Cilauro,0162274
Robert Altman,0000265
Bruce Davey,0202704
Yvon Crenn,0187383
Stephanie Antosca,0031532
Cheryl Abood,0008859
Nicky Kentish Barnes,0055717
Michael Bille Frandsen,0290750
Eryk Casemiro,0143320
Bono,0095104
Ram Bergman,0074851
Luc Campeau,0132962
Paul Mayeda Berges,0074488
Peter Bennett-Jones,0071564
Jean-Yves Asselin,0039804
Letty Aronson,0036981
Soo-hyun Ahn,1948121
Patrick Cassidy,0144233
Kevin Bernhardt,0076791
Anna Anthony,0030823
Edward Bunker,0120483
Connie Dolph,1341151
Dorothy Aufiero,0041765
Mitsuru Kurosawa,0475907
Eun Lee,6002592
Moritz Borman,0097001
Michael Rachmil,0705136
Katherine E. Beyda,0079878
Al Corley,0179959
Aditya Chopra,0159147
James Bulleit,0119874
Leslie Dixon,0228908
Robert Connolly,0175352
Jeffrey Downer,0235920
Mark Amin,0024909
James Dodson,0230286
Roger Frappier,0292024
Bernie Brillstein,0109401
Artemio Benki,0071406
Charles Adelman,0011828
Patrick Bordier,0096219
Hamdi Döker,0246854
Tomas Backström,0045727
Takeshi Fukuta,2806170
Daniel H. Blatt,0087828
Marko S. Eronen,4124517
Pippa Cross,0189248
Thibault Abraham,5367899
Michael André,4058799
Maripol,0548038
Nicolas Duval Adassovsky,1457753
India Allen,0020586
Jerry Belson,0069547
Jon Avnet,0000816
Victoria Alonso,0022285
Justin H. Conley,0174787
Umed Jain,0415843
Michele Camarda,0131204
G. Mac Brown,0113583
Brad Arensman,0002883
Russell Boland,0092693
Mark Agee,3140510
Caroline Kaplan,6359493
Stanley R. Jaffe,0415494
Gerry Levy,0506423
Ping Dong,2724208
Danny Dimbort,0227234
Patrick Allen,0019996
Cécile Amillat,0024900
Hideo Nishimura,1567812
Ulrich Felsberg,0271570
Larry Gross,0343419
Michiyo Arihara,5059932
Richard Bullock,1021036
Guel Arraes,0037136
Lina Flint,3891064
Bill Bannerman,0003806
Dustin Bernard,0076203
Paulo Branco,0104418
Paul Bradley,0103367
Christopher Eberts,0248178
Christopher Cronyn,0188851
Adam Brightman,0109201
Andrés Vicente Gómez,0351006
Keith Griffiths,0341702
Karen Bentzon,0073020
Jeremy Bolt,0093337
Jakob Claussen,0165361
Gian Paolo Brugnoli,0115800
Paul Colichman,0171473
Yasushi Mitsui,0594071
Sam Froelich,0296198
Franny Baldwin,0049906
Michael P. Aust,1841099
Bradley Adams,0010780
Robyn Kershaw,0449973
Roger Crago,1044236
Stéphane Cathelin,7541483
Robert E. Baruc,0059409
Talia Bernstein,5969780
Emanuel AG,5893898
Graham Broadbent,0110357
Maria Curman,0192776
Trina N. Dayrit,0206729
W.K. Border,0096176
Mark Huffam,0400240
Paddy Conroy,5628439
Nitin Manmohan,0542624
M.S. Senthil Kumar,0474829
Mel Frohman,0296250
Lennart Dunér,0243113
Alan B. Bursteen,0123367
Jesica A. Andres,4846506
Allu Aravind,0033242
Pascal Judelewicz,0006994
Daniel Blum,0089631
Charles Axelrod,1231441
Amy Adelson,0011864
Simon Channing Williams,0151925
Christophe Barratier,0056725
Mohan,0595897
Kai-Ping Cheung,0156486
